keys,es,en,pt_BR
DOUBLE_JUMP_DESC,Permite dar un salto adicional en el aire.,Allows an additional jump in the air.,Permite um pulo adicional no ar
AIR_KICK_DESC,"Después de un doble salto, presionando ↓ + [Salto] realiza una patada hacia abajo.","After a double jump, pressing ↓ + [Jump] performs a downward kick.","Depois do pulo duplo, pressionando ↓ + [Pulo] faz um chute descendente"
SWING_DESC,Permite columpiarte con el látigo normal al golpear los orbes rosas en el aire.,Allows you to swing with the normal whip by hitting the pink orbs in the air.,Te permite chicotear com o chicote normal ao bater os orbes rosas no ar.
WALL_SLIDE_DESC,"Permite deslizarte en paredes si ""empujas"" hacia la pared.","Allows you to slide on walls if you ""push"" towards the wall",Te permite deslizar nas paredes se você “empurrar” em direção à parede
WHIP_SPIN_DESC,Realiza un ataque giratorio del látigo con el comando [↓ ↑ + Ataque],Perform a whip-spinning attack with the command [↓ ↑ + Attack].,Faz uma chicotada giratória com o comando [↓ ↑ + Ataque].
MULTIPLE_EQUIPMENT_TITLE,Equipamiento Múltiple,Multiple Equipment,Equipamentos Múltiplos
MULTIPLE_EQUIPMENT_DESC,Mantén presionado el botón de [Menú rápido] y presiona [Backdash] o [Circuito E.] para cambiar el set de equipamiento.,Hold down the [Quick Menu] button and press [Backdash] or [E. Circuit] to change the equipment set.,Segure o botão de [Menu Rápido] e pressione [Recuo] ou [Circuito Elemental] para mudar o conjunto de equipamento
PYRO_PROIECTUM_DESC,Lanza un proyectil rodeado de fuego.,Launches a projectile surrounded by fire.,Lança um projétil rodeado de fogo
FRIGUS_PILAR_DESC,Crea continuamente pilares de hielo.,Continuously creates ice pillars.,Cria pilares de gelo continuamente
SCUTUM_ALLIGATIOS_DESC,"Invoca un escudo que te protege de proyectiles. El atributo físico será el mismo que el de la aleación equipada, sin embargo reduce el ATK en 30%","Summons a shield that protects you from projectiles. The physical attribute will be the same as the equipped alloy. However, it reduces the ATK by 30%.","Invoca um escudo que te protege de projéteis. O atributo físico será o mesmo da liga equipada, porém reduz em 30% o ATK."
UNDINA_AERIA_DESC,"Al ser equipado permite resistir debajo del agua de manera indefinida, de lo contrario solo aumenta la capacidad pulmonar.","When equipped, it allows you to resist underwater indefinitely. Otherwise, it only increases lung capacity.","Quando equipado, permite a resistir embaixo d’água indefinidamente. Caso contrário apenas aumenta a capacidade pulmonar"
CHAINED_ATTACK_DESC,Permite realizar ataques consecutivos de látigo de manera más rápida presionando repetidamente el botón del látigo.,Allows you to perform consecutive whip attacks faster by repeatedly pressing the whip button.,Permite realizar chicotadas consecutivas mais rápidas ao pressionar repetidamente o botão de chicote.
AMPHIBIOUS_BREATHING_DESC,Permite respirar bajo el agua.,Allows breathing underwater.,Permite respirar debaixo d’água
ELECTRO_SPHAERA_DESC,Invoca dos esferas de electricidad.,Summons two electricity spheres.,Invoca duas esferas elétricas.
AERIAL_DASH_DESC,Permite impulsarte con un breve período de invulnerabilidad si se presiona [Backdash] en el aire.,Allows you to dash with a brief period of invulnerability if [Backdash] is pressed in the air.,
RAPIS_MOTUS_DESC,Aumenta la velocidad al correr.,Increases running speed.,
FERRUM_ASCIA_DESC,Arroja Hachas hacia arriba.,Throw Axes upwards.,Lança machados para cima
