keys,es,en,pt_BR
DLG25_1671136581,Estoy aquí para acabar contigo.,I'm here to finish you.,Estou aqui para acabar com você.
DLG29_1671136581,Es realmente una pena... pero no se puede ayudar a aquel que no admite su problema.,It's really a pity... but we can't help someone who doesn't admit their problems.,Realmente uma pena...mas nós não podemos ajudar quem não admite seus problemas.
DLG32_1671136581,Y nuestro camino debe seguir. Encárgate de ella.,And our path must continue. Take care of her.,E nosso caminho deve continuar. Cuidem dela.
DLG33_1671136581,"Sí, señor.","Yes, sir.","Sim, senhor."
DLG8_1671137942,No puedo...,I can't...,Eu não consigo…
DLG9_1671137942,Ellos... me lastiman...,They... they hurt me...,Eles...eles me feriram…
DLG11_1671137942,Quiero que todo fuera como antes...,I want everything to be like before...,Eu quero tudo seja como antes…
DLG13_1671137942,"Vamos Xandria, sé fuerte.","Come on, Xandria. Be strong!","Vamos Xandria, seja forte."
DLG14_1671137942,Solo aguanta un poco más...,Just hold on a little longer...,Apenas aguente um pouco mais…
DLG16_1671137942,Me estoy esforzando para cumplir sus ordenes...,I'm trying hard to carry out their orders...,Estou tentando seriamente em cumprir as ordens…
DLG18_1671137942,"Ellos quieren crear al Alquimista de Hierro definitivo, alguien con mucho poder...","They want to create the ultimate Iron Alchemist, someone with a lot of power...","Eles querem criar o Alquimista de Aço definitivo, alguém com muito poder…"
DLG19_1671137942,Me convertiré en esa persona que buscan.,I will become the person they are looking for.,Eu me tornarei a pessoa que estão procurando.
DLG20_1671137942,"Y cuando lo logre, pediré que te dejen ir.","And when I succeed, I will ask them to let you go.","E quando eu conseguir, eu irei pedir a eles para te liberar."
DLG21_1671137942,"Todo saldrá bien, no volverán a molestarte.","Everything will be fine, they won't bother you again.","Tudo estará bem, ele não irão te importunar novamente."
DLG23_1671137942,No pierdas las esperanzas Xandria.,"Don't give up hope, Xandria.","Xandria, não perca as esperanças."
DLG34_1671137942,¿Eh?,Eh?,Eh?
DLG35_1671137942,¡Señorita Xandria!,Miss Xandria!,Senhorita Xandria!
DLG40_1671137942,Señorita Xandria... menos mal... ¿Cómo se siente?,"Miss Xandria, thank goodness... How are you feeling?",Senhorita Xandria...ainda bem…Como está se sentindo?
DLG41_1671137942,"Eh... bien, creo... ¿quién eres tú? ¿cómo sabes mi nombre?","Uh, well... I think... Who are you? How do you know my name?","Uh...bem, eu acho...Quem é você? Como sabe o meu nome?"
DLG42_1671137942,"Me llamo Atreu, soy un aprendiz de Alquimista. Es un honor poder conocerla señorita Xandria.","My name is Atreu. I'm a novice alchemist. It's an honor to meet you, Miss Xandria.","Meu nome é Atreu, sou um alquimista novato. É uma honra te encontrar, senhorita Xandria."
DLG43_1671137942,He escuchado de sus hazañas en Transilvania. Sobre como derrotó a Drácula usted sola y...,I've heard of your heroic efforts in Transylvania. How you defeated Dracula by yourself and...,Eu soube de suas ações heroicas na Transilvânia. De como derrotou Drácula sozinha e…
DLG44_1671137942,"Sí, sí, lo que sea, ahórrate los halagos.","Yeah, yeah, whatever. Save the compliments.","Sim, sim, deixe de elogios."
DLG45_1671137942,Ah... me duele la cabeza...,Ah... my head hurts...,Ah...minha cabeça dói…
DLG46_1671137942,"Es lo de menos, usted ha caído desde una gran altura. Traje algunas medicinas que le podrían ayudar. ","That’s the least of it, you've fallen from a great height. I brought some medicine that might help you.","Pelo menos, você caiu de uma grande altura. Eu trouxe um remédio que pode te ajudar."
DLG49_1671137942,¿Qué rayos haces aquí?,What the heck are you doing here?,Que diabos está fazendo aqui?
DLG51_1671137942,Bueno... vine a escondidas de mis instructores...,Well... I hid from my instructors...,Bem... Eu vim escondido dos meus instrutores.
DLG54_1671137942,Con que estás desobedeciendo ordenes...,So you're disobeying orders...,Então está desobedecendo ordens…
DLG55_1671137942,"Me agrada tu estilo, chico.","I like your style, boy.","Eu gosto do seu estilo, jovem."
DLG58_1671137942,Oh... la señorita Xandria me ha elogiado...,Oh... Miss Xandria has praised me...,Oh...Senhorita Xandria me elogiou…
DLG60_1671137942,(Se ha sonrojado..),(He blushed...),(Ele se envergonhou…)
DLG61_1671137942,(Qué chico tan raro.),(What a strange kid.),(Que jovem estranho.)
DLG62_1671137942,Eso no está bien.,That's not right.,Isso não está certo.
DLG65_1671137942,"Lo sé, pero tenía que venir a ayudar de alguna manera.","I know, but I had to come and help somehow.","Eu sei, mas eu tenho que ir e ajudar de alguma forma."
DLG66_1671137942,En Grijayla viven personas que me importan mucho.,People who matter a lot to me live in Grijayla.,Em Grijayla vivem pessoas que eu me importo bastante.
DLG70_1671137942,(Pero quién soy para juzgar... No seguiré más con el tema).,(But who am I to judge... I won't pursue the subject any further.),(Mas quem sou eu para julgar...Eu não continuarei mais com esse tema.)
DLG74_1671137942,"Señorita Xandria, ¿le ayudo a salir?","Miss Xandria, shall I help you out?","Senhorita Xandria, posso te ajudar a sair?"
DLG75_1671137942,Ya me has ayudado lo suficiente.,You've helped me enough already.,Você já me ajudou o bastante.
DLG76_1671137942,"Solo vete, estaré bien sola.","Just go, I'll be fine on my own.","Apenas vá, eu ficarei bem só."
DLG77_1671137942,Bueno. Si usted lo dice...,Okay. If you say so...,"Ok, já que diz."
DLG1_1671139129,Esto es... [color=yellow]Carbono[/color] me será de utilidad para destrir la Calcita.,This is... [color=yellow]Carbon[/color] will be useful for destroying Calcite.,Este é...[color=yellow]Carbono[/color] será útil para destruir a Calcita.
DLG4_1671139129,Crea una [color=yellow]Aleación[/color] de Hierro+Carbono desde el sistema de alquimia para aumentar la dureza del látigo.,Create an [color=yellow]Alloy[/color] of Iron+Carbon from the alchemy system to increase the hardness of the whip.,Cria uma [color=yellow]liga[/color] de Ferro+Carbono do sistema de alquimia para aumentar a durabilidade do chicote.
DLG1_1674506987,Esto parece ser mineral de [color=yellow]Calcita[/color]...,This appears to be [color=yellow]Calcite[/color] ore...,Isso parece ser um minério de [color=yellow]Calcita[/color]…
DLG2_1674506987,[color=yellow]Necesitaré más que solo Hierro[/color] para poder salir de aquí.,[color=yellow]I'll need more than just Iron[/color] to get out of here.,[color=yellow]Precisarei mais que apenas Ferro[/color] para sair daqui.
DLG2_1675875815,Lo suponía... Un ataque como ese no era suficiente para matarte.,I thought so... An attack like that wasn't enough to kill you.,Como pensei...Um ataque como esse não seria o bastante para te matar.
DLG3_1675875815,Tendré que encargarme personalmente de ti.,I'll have to take care of you personally.,Eu irei cuidar de você pessoalmente.
DLG4_1675875815,"Ven, Adeptis. Te haré caer de rodillas.","Come, Adeptis. I'll bring you to your knees.","Venha, Adeptis. Te deixarei de joelhos."
DLG2_1675875857,"Debo admitirlo, eres un hueso duro de roer.","I must admit, you're a tough nut to crack.","Eu tenho que admitir, você é osso duro de roer."
DLG3_1675875857,Pero la batalla ya la has perdido al enfrentarte a mí.,But you have already lost the battle by confronting me.,Mas você já perdeu a batalha ao me confrontar.
DLG4_1675875857,Esta será tu tumba.,This will be your grave.,Esta será o seu túmulo.
DLG7_1675875857,(¡Ella es una Alqumista de Cloro!),(She is a Chlorine Alchemist!),(Ela é uma Alquimista de Cloro!)
DLG12_1675875857,¡Muere en agonía!,Die in agony!,Morra em agonia!
DLG1_1675878395,¡Maldita sea! ¡No puedo salir!,Damn it! I can't get out!,Droga! Eu não consigo sair!
DLG1_1677711345,¿Él se está propulsando en el aire con una pistola?,He's propelling himself into the air with a gun?,Ele está se impulsionando no ar com uma arma?
DLG2_1677711345,Qué habilidad tan rara.,What a weird ability.,Mas que habilidade diferente.
DLG3_1677711345,Tengo que buscar otra manera de salir de aquí y debo darme prisa.,I have to find another way out of here. I must hurry.,Eu tenho que encontrar uma outra forma de sair daqui e rápido.
DLG7_1677779048,Él no lo ha logrado. Es una pena...,He didn't make it. What a pity…,Ele não foi bem-sucedido. É uma pena...
DLG9_1677779048,No dejes que su sacrificio sea en vano.,Don't let his sacrifice be in vain.,Não deixe que seu sacrifício seja em vão.
DLG10_1677779048,Estás destinada a grandes cosas...,You are destined for great things...,Você está destinada a atos grandiosos…
DLG11_1677779048,Eres la persona elegida para albergar el espíritu de Athos.,You are the one chosen to harbor the spirit of Athos.,Você é a pessoa escolhida para abrigar o espírito de Athos.
DLG13_1677779048,Pero antes tu poder debe despertar...,"But first, your power must awaken…","Mas primeiro, seu poder precisa ser despertado…"
DLG14_1677779048,Serás capaz de hacer que la tierra se estremezca.,You will be able to make the earth tremble.,Você será capaz de estremecer a terra.
DLG15_1677779048,Que los mares se agiten sin control.,Make the seas churn uncontrollably.,Que os mares agitem descontroladamente.
DLG16_1677779048,Que el fuego emerga desde las profundidades.,Make fire emerge from the depths.,Que as chamas emerjam das profundezas.
DLG20_1677779048,El calor es la vibración acelerada de los átomos.,Heat is the accelerated vibration of atoms.,Calor é a vibração acelerada dos átomos.
DLG22_1677779048,Y un alquimista debe ser capaz de controlar esta vibración y dominarla a su voluntad.,And an alchemist must be able to control this vibration and master it at will.,E um alquimista deve ser capaz de controlar sua vibração e dominar à sua vontade.
DLG27_1677779048,Hazlo Xandria...,"Do it, Xandria…",Faça Xandria…
DLG28_1677779048,"Controla ese movimiento atómico, y una vez que lo logres...","Control this atomic movement, and once you do...","Controle este movimento atômico, ao conseguir fazê-lo…"
DLG29_1677779048,El dolor desaparecerá.,The pain will disappear.,A dor desaparecerá.
DLG1_1678397417,Nota importante de seguridad sobre los contenedores de [color=yellow]Nitroglicerina.[/color],Important safety note on [color=yellow]Nitroglycerin[/color] containers.,Nota importante de segurança nos contêineres de [color=yellow]Nitroglicerina[/color].
DLG2_1678397417,"Al manipular estos contenedores, tenga en cuenta que son resistentes al impacto, [color=yellow]pero no a la exposición prolongada al fuego/calor.[/color]","When handling, please note that they are resistant to impact [color=yellow]but not to prolonged exposure to fire/heat.[/color]","Ao manipular estes contêineres, por favor saiba que são resistentes ao impacto, [color=yellow] mas não à exposição prolongada ao fogo ou calor.[/color]"
DLG3_1678397417,"Por favor, tenga precaución al almacenar y transportar estos contenedores para garantizar su seguridad y la de quienes lo rodean.",Please use caution when storing and transporting these containers to ensure your safety and the safety of those around you.,"Por favor, tenha cautela quando guardar e transportar estes contêineres para assegurar sua segurança e a todos ao seu redor."
DLG1_1679006366,Demo terminada. ¡Muchas gracias por jugar!,"Demo finished, thank you very much for playing!",Demo finalizada. Muito obrigado por jogar!
DLG2_1679006366,"Recuerda seguir el proyecto [color=yellow]Toziuha Night[/color] en Facebook, Twitter, Youtube, Itchio y Steam!","Remember to follow the [color=yellow]Toziuha Night[/color] project on Facebook, Twitter, Youtube, Itch.io, and Steam!","Lembre de seguir o projeto [color=yellow]Toziuha Night[/color] no Facebook, Twitter, Youtube, Itch.io e Steam!"
XANDRIADOTX3,Xandria...,Xandria...,Xandria…
THANKS,Gracias.,Thank you.,Muito obrigado.
IUNDERSTAND,Entiendo...,I understand...,Eu entendo.
PROLOGUE_OUTRO_1,"En cada última noche de octubre,
misteriosamente las fuerzas
de la luz se desvanecen.","On every last night of October,
mysteriously the forces
of light fade away.","A cada última noite de Outubro, 
misteriosamente as forças 
Da luz desaparecem,"
PROLOGUE_OUTRO_2,"Con el fin de proteger a la humanidad,
los herederos de la sabiduría 
de Hermes Trismegisto...","In order to protect humanity,
the heirs of the wisdom
of Hermes Trismegistus...","Para proteger a humanidade, 
os herdeiros da sabedoria 
De Hermes Trimegisto…"
PROLOGUE_OUTRO_3,"... personas conocidas como Alquimistas
crearon una organización.","... people known as Alchemists
created an organization.","...pessoas conhecidas como Alquimistas 
Criaram uma organização."
PROLOGUE_OUTRO_4,"Siglos de paz y progreso reinaron
el continente.","Centuries of peace and progress reigned
over the continent.","Séculos de paz e progresso reinaram 
Por todo o continente."
PROLOGUE_OUTRO_5,"Sin embargo, la paz peligra
por aquellos que proclaman
tener la verdad absoluta.","However, peace is endangered
by those who claim
to have the absolute truth.","Porem, a paz é ameaçada 
por aqueles que reivindicam 
Que tem a verdade absoluta."
PROLOGUE_OUTRO_6,"Adeptos del poder Toziuha, se reunen
entre las sombras, esperando
la resurección de Athos.","Adepts of power Toziuha, gather
in the shadows, awaiting
the resurrection of Athos.","Adeptos do poder Toziuha, se reúnem 
nas sombras, aguardando 
A ressurreição de Athos."
ROTTENCHICKENWALLOBTAINED,Qué demonios hace una pierna de pollo en la pared...,What the hell is a chicken leg doing on a wall...,Mas que diabos uma coxa de frango está fazendo numa parede…
DLGIMUSTUSECARBON,Debería usar la aleación de Carbono...,I should use the Carbon alloy...,Eu deveria usar a liga de Carbono…
HOWCUTE,Qué lindo...,How cute...,Que lindo…
DLGIMUSTUSEPYRO,Debería usar fuego o calor... los golpes no servirán.,I should use fire or heat... hitting won't work.,
ALESSALETTER1,"Xandria, felicitaciones por tu ascenso a Alquimista Oficial.","Xandria, congratulations on your promotion to Official Alchemist.",
ALESSALETTER2,"Este es un gran paso para tu carrera como Alquimista, aunque eso no te interesa parece...","This is a big step for your career as an Alchemist, although you don't care about that, I guess...",
ALESSALETTER3,"En fin, esta noche serás asignada a una misión de emergencia...","Anyway, tonight you will be assigned to an emergency mission...",
ALESSALETTER4,Se ha reportado una invasión de demonios en la ciudad de Grijayla.,A demon invasion has been reported in the city of Grijayla.,
ALESSALETTER5,"Según la información que he recibido, hay Ahuizotes involucrados. Quizás encuentres algo que buscas...","According to the information I have received, there are Ahuizotes involved. Maybe you'll find something you're looking for...",
ALESSALETTER6,"Ya me lo agradecerás luego, y con agradecerme quiero decir que me deberás un favor.","You'll thank me later, and by thanking me, I mean you'll owe me a favor.",
ALESSALETTER7,Alessa Bollstad\n---\nDirectora de La Orden.,Alessa Bollstad\n---\nDirector of The Order.,
DLGIMUSTUSELUX,No sería buena idea avanzar en un lugar tan oscuro sin tener algo con qué iluminar...,It would not be a good idea to advance in such a dark place without having something to illuminate...,
DLG01GRIJLETTER,Parece que quien vivía aquí dejó una carta...,It seems that the person who lived here left a letter...,
