id,es,en,pt,fr
0_0_2,"Este... señora Rachel, ¿ha olvidado a lo que venimos?",Mrs. Rachel... have you forgotten what we're here for?,Sra. Rachel... já se esqueceu do motivo de estarmos aqui?,Miss Rachel... auriez vous oublié la raison de notre présence?
0_0_3,"Sí, sí, lo sé... descuida... sé perfectamente qué día es hoy.","Yep, I know... don't worry...I know exactly what day it is today.","Sim, eu sei... não se preocupe... sei exatamente que dia é hoje.","Yep, je sais...ne t’en fais pas...Je sais bien quel jour nous sommes."
0_0_4,Es tu último día de entrenamiento conmigo.,It's your last day of training with me.,Hoje é seu último dia de treinamento comigo.,C'est ton dernier jour d'entrainement avec moi.
0_0_5,"Han pasado tantos años desde que te encontré, cuando solo eras una niña indefensa...","It's been so many years since I found you, when you were just a helpless child...","Faz tantos anos desde que te encontrei, quando você era apenas uma criança indefesa...","Cela fait tant d’années depuis que je t’ai trouvée, alors que tu n’étais qu’une enfant."
0_0_6,Y ahora veo todo lo que has progresado... me siento tan orgullosa.,And now I see how far you've come... I feel so proud.,E agora vejo o tanto que progrediu... estou muito orgulhosa.,"Et maintenant, de voir comme tu as progressé,je suis tellement fière"
0_0_7,...,...,...,...
0_0_8,"Muy bien, sentimentalismos aparte, muéstrame lo que tienes.","All right, sentimentality aside, show me what you've got.","Muito bem, sentimentalismos a parte, me mostre tudo o que tem.","Bien, laissons les sentiments de côté, montre-moi ce dont tu es capable."
0_0_tuto1,Ataca a Rachel tres veces.,Attack Rachel three times.,Ataque Rachel três vezes.,Attaquez Rachel trois fois.
0_0_9,"Vaya, tu velocidad de ataque no está nada mal.","Wow, your attack speed isn't bad at all.","Uau, sua velocidade de ataque não está nada mal.","Eh bien, ta vitesse d’attaque est plutôt bonne."
0_0_10,Aunque sigues sin poder hacerme un rasguño.,"You still can't give me a scratch, though.",Mas ainda não consegue me causar um arranhão.,Mais tu n’arrives toujours pas à m’érafler. 
0_0_11,"Ahora, veamos lo que sabes hacer desde largas distancias.","Now, let's see what you can do from long distances.","Agora, vejamos o que consegue fazer de uma distância maior.","Maintenant, voyons ce que tu peux faire à longue distance."
0_0_12,Usa el hierro a tu alrededor y [transmuta] algunas armas arrojadizas.,Use the iron around you and [transmute] some throwing weapons.,Use o ferro ao seu redor e [transmute] algumas armas de arremesso.,Utilise le fer autour de toi et [transmute] le en une arme de lancer.
0_0_tuto2,Arroja hachas sobre Rachel.,Throw axes at Rachel.,Lance machados em Rachel.,Lancez des haches sur Rachel.
0_0_13,"Oro, Plata, Cobre, Estaño, Plomo, Mercurio y Hierro...","Gold, Silver, Copper, Tin, Lead, Mercury and Iron...","Ouro, Prata, Cobre, Estanho, Chumbo, Mercúrio e Ferro...","Or, Argent, Cuivre, Etain, Plomb, Mercure et Fer..."
0_0_14,"Los alquimistas que dominan estos elementos, son raros de ver...","Alchemists who master these elements, are rare to see...",Os alquimistas que dominam esses elementos são raros de se ver...,Les Alchimistes qui maîtrisent ces éléments sont rares...
0_0_15,"Como [Alquimista de Hierro], eres todavía más excepcional.","As an [Iron Alchemist], you are even more exceptional.","Como uma [Alquimista de Ferro], você é ainda mais excepcional.",En tant qu’[Alchimiste du Fer] tu es encore plus exceptionnelle.
0_0_16,"Dominas un elemento que fácilmente se combina con cualquier otro, además de ser tan abundante...","You master an element that easily combines with any other, as well as being so abundant...","Domina facilmente um elemento que se combina facilmente com qualquer outro, além de ser muito abundante...","Tu maîtrises un élément qui se combine facilement avec tous les autres, en plus d’être abondant."
0_0_17,"Esa [abundancia] jugará a tu favor, así que ahora te enseñaré sobre los [Circuitos Elementales].","That [abundance] will play in your favor, so now I will teach you about [Elemental Circuits].","Essa [abundância] estará a seu favor, então agora irei te ensinar sobre os [Circuitos Elementais].","Cette [abondance] te sera utile, maintenant je vais t’apprendre les [Circuits Elémentaires]."
0_0_18,¿Circuitos Elementales?,Elemental Circuits?,Circuitos Elementais?,Circuits Elémentaires ?
0_0_19,Estos hechizos potenciarán tus ataques y otros te dan efectos pasivos.,These spells will enhance your attacks and others give you passive effects.,Esses feitiços potencializam seus ataques e concedem outros efeitos passivos.,Ces sorts peuvent améliorer tes attaques ou t’offrir des avantages passifs.
0_0_20,Te otorgaré uno que mejorará tu ataque secundario.,I will grant you one that will enhance your secondary attack.,Concederei um que irá melhorar seu ataque secundário.,Je vais t’en offrir un qui améliorera ton attaque secondaire.
0_0_21,"Pero ten cuidado, este Circuito Elemental consume mucho más maná de lo habitual.","But be careful, this Elemental Circuit consumes much more mana than usual.","Mas tome cuidado, este Circuito Elemental consome mais mana do que o habitual.","Attention néanmoins, ce Circuit Elémentaire consomme bien plus de Mana."
0_0_tuto3,Acércate al Circuito Elemental y luego mantén presionado [Arriba] para absorber su poder.,Get close to the Elemental Circuit and then hold [Up] to absorb its power.,Fique próxima ao Circuito Elemental e segure para [Cima] para absorver seu poder.,Approchez vous d’un Circuit Elémentaire et maintenez [Haut] pour absorber son pouvoir
0_0_tuto4,El efecto que pueda causar dependerá de la arma secundaria que poseas.,The effect it can cause will depend on the secondary weapon you possess.,O efeito que isso pode causar dependerá da arma secundária que você possuir.,L’effet dépends de l’arme secondaire en votre possession.
0_0_tuto5,"Para usar el Circuito Elemental, solo mantén presionado [Arriba].","To use the Elemental Circuit, just press and hold [Up].","Para usar o Circuito Elemental, apenas pressione e segure para [Cima].","Pour utiliser un Circuit Elémentaire, pressez et maintenez [Haut]"
0_0_22,"Ya no tengo nada más que enseñarte, mi querida alumna.","I have nothing more to teach you, my dear pupil.","Não tenho mais nada para te ensinar, minha querida aluna.",Je n’ai plus rien à t’apprendre ma chère apprentie.
0_0_23,"En serio, estoy muy agradecida con su ayuda.","Really, I'm very grateful for your help.","De verdade, estou muito agradecida por sua ajuda.",Je vous suis reconnaissante pour votre enseignement.
0_0_24,"Aunque no importa lo fuerte que me he vuelto, en [La Orden] sigo siendo solo una [novata].","No matter how strong I've become, though, in [The Order] I'm still just a [Novice].","Não importa o quão forte eu me tornei, aqui na [Ordem] ainda sou apenas uma [Novata].","Néanmoins, peut importe si je deviens forte, dans [L’Ordre] je ne suis toujours qu’une [Novice]."
0_0_25,No soy reconocida como una [Alquimista Oficial]...,I'm not recognized as a [Official Alchemist]...,Nem mesmo sou reconhecida como uma [Alquimista Oficial]...,Je ne suis pas reconnue comme [Alchimiste officiel]...
0_0_26,"Y sin ese rango, no tengo acceso a la información que ellos resguardan.","And without that rank, I don't have access to the information they guard.","E sem essa posição, não tenho acesso às informações que eles guardam.","Et sans ce rang, je n’ai pas accès aux informations qu’ils gardent."
0_0_27,"¿Así que sigues firme en tu deseo de venganza, eh?","So you're still steadfast in your desire for revenge, eh?","Então, ainda segue firme em seu desejo por vingança, hm?","Alors tu es toujours obsédée par ton désir de revenge, hm ?"
0_0_28,Ciertamente La Orden debe tener registros sobre la persona que estás buscando...,Certainly The Order must have records on the person you're looking for...,Certamente a Ordem deve ter registros sobre as pessoas que estou procurando...,Il est sûr que l’Ordre doit avoir des archives sur la personne que tu recherches...
0_0_29,Y los novatos en La Orden tardan uno o dos años en ser reconocidos como Alquimistas Oficiales.,And it takes a year or two for novices in The Order to be recognized as Official Alchemists.,E leva um ou dois anos na Ordem para os novatos serem reconhecidos como Alquimistas oficiais.,Et il faut un à deux ans pour que les novices de l’Ordre soient reconnus comme Alchimistes officiels
0_0_30,"Pero si necesitas ascender de rango rápidamente, entonces...","But if you need to rise through the ranks quickly, then...","Mas se deseja subir de posição rapidamente, então...","Mais si tu as besoin de monter en rang rapidement, alors..."
0_0_31,Tendrás que completar lo que los alquimistas llamamos una [misión suicida].,You'll have to complete what we alchemists call a [suicide mission].,Terá que completar o que os alquimistas chamam de [missão suicída].,Tu devras accomplir ce que nous Alchimistes appelons une [mission suicide].
0_0_32,"Tarde o temprano alguien te lo hubiera contado, así que te lo digo ahora.","Sooner or later someone would have told you, so I'm telling you now.","Cedo ou tarde alguém iria te revelar isso, então prefiro te contar agora.","Tôt ou tard quelqu’un t’en aurait parlé, autant le faire maintenant."
0_0_33,Si estás dispuesta a todo para lograr tus objetivos...,If you're willing to do anything to achieve your goals...,Se você estiver disposto a fazer qualquer coisa para atingir seus objetivos...,Si vous êtes prêt à faire n'importe quoi pour atteindre vos objectifs...
0_0_34,"Ve a ver a [Alessa], ella te dará más información.","Go see [Alessa], she will give you more information.","Vá se encontrar com [Alessa], e ela te dará mais informações.","Va voir [Alessa], elle te fournira plus d’informations."
0_0_35,"Yo ya estoy retirada de La Orden, así que no sé qué tanto han cambiado las cosas por allá.","I'm already retired from The Order, so I don't know how much things have changed over there.","Eu já estou afastada da Ordem, então não sei o quanto as coisas mudaram durante esse tempo.","Etant donné que je me suis retirée de l’Ordre, j’ignore à quel point les choses ont changé."
0_0_36,Con que... ¿una misión suicida? Iré de inmediato a ver a la directora.,So... A suicide mission? I'll go right away to see the directress.,Então... uma missão suicída? Irei agora mesmo me encontrar com a diretora.,Une mission suicide hein ? Je vais immédiatement aller voir la directrice.
0_0_37,En caso de que te asignen una misión así y las cosas se complican...,In case you're assigned such a mission and things get complicated...,No caso de você receber tal missão e as coisas ficarem complicadas...,Au cas ou tu serais assignée à une telle mission et qu'elle se complique...
0_0_38,"Por favor, huye, nadie te juzgará por valorar tu vida.","Please run away, no one will judge you for valuing your life.","Por favor, fuja. Ninguém irá te julgar por valorizar sua vida.","Enfuis toi je t’en prie, personne ne te jugera de protéger ta vie."
0_0_39,... Lo tendré en cuenta.,... I'll keep that in mind.,... Me lembrarei disso.,...Je tâcherais de m’en souvenir.
0_0_40,Ve con cuidado... Xandria.,Go carefully... Xandria.,Vá e tome cuidado... Xandria.,Va avec prudence...Xandria.
1_6_0_paper1,"Según tengo entendido, cuando mi maestra Rachel trabajaba para La Orden...","As I understand it, when Mrs. Rachel worked for The Order...","Segundo entendi, quando minha mestra Rachel trabalhava para a Ordem...","A ce que j'ai compris, quand Ms Rachel travaillait pour l'Ordre..."
1_6_1_paper1,"Ella y la Directora Alessa fueron compañeras, al principio no se llevaban muy bien...","She and directress Alessa were partners, at first they didn't get along very well...","Ela e a diretora Alessa foram parceiras, mas no início não se davam muito bem...","Elle et la Directrice Alessa furent partenaires, au début elles ne s'entendaient pas..."
1_6_2_paper1,Aunque su amistad terminó perdurando al paso de los años.,Although their friendship ended up lasting as the years went by.,Embora a amizade deles tenha durado com o passar dos anos.,Mais leur amitié a fini par durer au fil des années.
1_6_0_paper2,Es solo un periodico... El titular es...,It's just a newspaper... The headline is...,É apenas um jornal... O título diz...,C'est juste un journal...L'article dit...
1_6_1_paper2,La banda de los alquimistas de elementos sintéticos ha escapado de prisión.,The gang of synthetic elements alchemists have escaped from prison.,A gangue de alquimistas de elementos sintéticos escapou da prisão.,Le gang des alchimistes d'éléments synthétiques se sont évadés de prison.
1_6_2_paper2,"[Pirsom, Neil, Kris, Kyle y Logan son los nombres de los que han escapado].","[Pirsom, Neil, Kris, Kyle and Logan are the names of those who have escaped].","[Pirsom, Neil, Kris, Kyle e Logan são os nomes daqueles que escaparam]","[Pirsom, Neil, Kris, Kyle et Logan sont les noms des évadés]."
1_6_3_paper2,No estoy interesada en seguir leyendo el periodico.,I'm not interested in reading the paper anymore.,Não estou mais interessada em ler o jornal.,Cela ne m'interesse plus de lire le journal.
1_6_1,"Oh, vaya, pero qué agradable sorpresa...","Oh, my, but what a pleasant surprise...","Oh, nossa, mas que surpresa agradável...","Oh,et bien, quelle plaisante surprise..."
1_6_2,Sé que usted es una mujer muy ocupada Directora Alessa...,I know you are a very busy woman Mrs. Alessa...,"Sei que você é uma mulher bastante ocupada, diretora Alessa...",Je sais que vous êtes une femme très occupée directrice Alessa...
1_6_3,"Así que iré directo al grano, necesito ascender de rango lo antes posible.","So I'll get straight to the point, I need to move up in rank as soon as possible.",Então irei direto ao ponto... preciso subir de posição o quanto antes.,"Alors J'irais droit au but, J'ai besoin de monter en rang le plus vite possible."
1_6_4,"¿Eh? Vaya, qué predecible eres, Xandria...","Huh? My, how predictable you are, Xandria...","Hm? Nossa, você é bem previsível, Xandria...","Hm? Et bien, tu es très prévisible, Xandria..."
1_6_5,¿En serio piensas convertirte en una Alquimista Oficial?,Are you seriously planning to become a Official Alchemist?,Pensa seriamente em se tornar uma Alquimista Oficial?,Penses-tu sérieusement à devenir une Alchimiste officiel?
1_6_6,Algo que necesita años de servicio y mucho papeleo.,Something that needs years of service and a lot of paperwork.,Algo que necessita de anos de serviço e muita papelada.,Quelque chose qui demande des années de service et beaucoup de paperasse.
1_6_7,"Tenemos muchas solicitudes, no importa si fuiste entrenada por la legendaria [Alquimista de Cobre].","We have many applications, no matter if you were trained by the legendary [Copper Alchemist].","Temos muitas solicitações, e não importa se você foi treinada pela lendária [Alquimista de Cobre].","Nous avons beaucoup de demandes, et même si tu à été entrainée par la légendaire [Alchimiste de Cuivre]."
1_6_8,"Para nosotros, no eres diferente del resto de aspirantes.","To us, you're no different from the rest of the applicants.","Para nós, você não é diferente do restante dos candidatos.","Pour nous, tu n'est pas differente du reste des demandeurs."
1_6_9,Y no nos podría importar menos tu pasado o tus motivaciones.,And we couldn't care less about your past or your motivations.,E não poderíamos nos importar menos com seu passado ou suas motivações.,Et nous ne nous préoccupons pas de ton passé ou bien de tes motivations
1_6_10,"Así que confórmate con recibir misiones menos importantes, aunque tu paga sea poca.","So be content with receiving less important missions, even if your pay is little.","Então se contente em receber missões menos importantes, mesmo que paguem pouco.","Alors contente toi de recevoir des petites missions, même si la paye est légère."
1_6_11,¿Y si consigo un mérito importante? Mi maestra mencionó algo sobre las misiones suicidas.,What if I get a major merit? My master mentioned something about suicide missions.,E se eu conseguir um mérito maior? Minha mestra mencionou algo sobre as missões suicídas.,Et si j'obtenais un prestige majeur? Mon maitre a mentionné les missions suicide.
1_6_12,"Así que Rachel ya te lo ha dicho, vaya...","So Rachel has already told you, Uh...","Então Rachel te contou sobre isso, hm...","Ainsi Rachel t'en à déjà parlé, Hm..."
1_6_13,"Aunque nosotros, los funcionarios, preferimos llamarlos [Misiones de rango extraordinario].",Although we officials prefer to call them [Extraordinary Rank Missions].,Embora nossos oficiais prefiram se referir a elas como [Missões de Posição Extraordinária].,"Nous, les officiels, préférons néanmoins le terme de [Missions de Rang Extraordinaire]."
1_6_14,"Los alquimistas trabajan para nosotros por dinero, equipamiento y atención médica.","Alchemists work for us for money, equipment and medical care.","Os alquimistas trabalham para nós por dinheiro, equipamentos e cuidados médicos.","Les Alchimistes travaillent pour nous pour l'argent, l'équipement et l'aide médicale."
1_6_15,Pero una misión de ese estilo cambia totalmente las cosas.,But such a mission totally changes things.,Mas uma missão desse tipo é outra história.,Mais une mission comme ça est une toute autre histoire.
1_6_16,Cuando surge un problema tan complicado que ni los Alquimistas Oficiales logran resolver...,When a problem arises that is so complicated that even the Official Alchemist can't manage to solve...,Quando surge um problema tão complicado que nem os Alquimista Oficial conseguem resolver...,Quand un problème surgit et est compliqué au point que les Alchimiste officiel ne peuvent le résoudre...
1_6_17,Puedes solicitar ser asignada para ayudar.,You can request to be assigned to help.,Você pode solicitar ser designada para ajudar.,Tu peux demander à être assignée pour aider.
1_6_18,"Sin embargo, no habrá ninguna paga por adelantado. Y en caso de fallar la misión...","However, there will be no advance pay. And in case you fail the mission...","Porém, não haveria pagamento adiantado. E caso falhe em sua missão...","Néanmoins, il n'y aura pas d'avance sur ta paye, et si tu échoues..."
1_6_19,No nos molestaremos nisiquiera en recuperar tu cadáver.,We won't even bother to recover your corpse.,Nós nem iríamos nos importar em recuperar o seu cadáver.,Nous ne viendrons même pas pour récupérer ton cadavre.
1_6_20,"Pero si logras completarla, te ganarás un gran mérito.","But if you manage to complete it, you will earn a great merit.","Mas se você conseguir completar a missão, ganhará um grande mérito.","Mais si tu réussis, tu gagneras un grand prestige."
1_6_21,Y nosotros pagamos muy bien por el mérito de nuestros alquimistas.,And we pay very well for our alchemists' merit.,E pagamos muito bem pelos méritos de nossos alquimistas.,Et nous payons bien pour le prestige de nos Alchimistes. 
1_6_22,"Grandes cantidades de dinero, amplios terrenos, títulos nobiliarios...","Large sums of money, ample lands, noble titles...","Grandes quantias em dinheiro, terrenos amplos, títulos de nobreza...","Grandes quantités d'argent, d'amples terrains, des titres de noblesse... "
1_6_23,E incluso ser ascendido a [Alquimista Oficial] y gozar de varios privilegios.,And even be promoted to [Official Alchemist] and enjoy various privileges.,E até mesmo ser promovida a [Alquimista Oficial] e aproveitar muitos privilégios.,Et même être promu au rang d'[Alchimiste officiel] et jouir de nombreux privilèges.
1_6_24,Lo entiendo. Así que estoy dispuesta a solicitar...,I understand. So I'm willing to apply...,Entendo. Estou disposta a solicitar isso...,"C'est compris, J'aimerais m'inscrire..."
1_6_25,"Hey, no tan rápida. Estás olvidando algo importante.","Hey, not so fast. You're forgetting something important.","Ei, pra que tanta pressa? Está esquecendo de algo importante.","Hé, pas si vite. Tu oublies quelque chose d'important."
1_6_26,Vivimos en una ciudad relativamente pacífica.,We live in a relatively peaceful city.,Vivemos em uma cidade relativamente pacífica.,Nous vivons dans une ville relativement pacifique.
1_6_27,Los demonios y los criminales no representan una gran amenaza para nosotros.,Demons and criminals don't pose much of a threat to us.,Demônios e criminosos não representam uma grande ameaça para os outros.,Démons et criminels ne sont pas une menace pour nous.
1_6_28,No... no puede ser...,No... it can't be...,Não pode ser...,Non...c'est impossible...
1_6_29,Es gracioso ver que alguien se moleste por vivir en una ciudad pacífica.,It's funny to see someone get upset about living in a peaceful city.,É engraçado ver alguém que fique triste por viver em uma cidade pacífica.,C'est drôle de voir quelqu'un être si frustrée de vivre dans une ville pacifique.
1_6_30,"Pero estás de suerte, creo... Hace un par de días recibí una noticia desde Transilvania.","But you're in luck, I think? A couple of days ago I got some news from Transylvania.","Mas você tem sorte, sabe? Há alguns dias atrás eu recebi notícias da Transilvânia.","Mais tu as de la chance, je crois? Depuis peu je reçois des nouvelles de Transylvanie."
1_6_31,"Vlad Tepes, El Empalador, fue uno de los alquimistas más poderosos en aquellas regiones.","Vlad Tepes, The Impaler, was one of the most powerful alchemists in those regions.","Vlad Tepes, o Empalador, foi um dos alquimistas mais poderosos naquela região.","Vlad Tepes, L'Empaleur, était l'un des plus puissants alchimistes de cette région."
1_6_32,Demostró un gran poder en la guerra contra los Otomanos.,He demonstrated great power in the war against the Ottomans.,Ele demonstrou um grande poder na guerra contra os Otomanos.,Il à fait montre de grande puissance dans la guerre contre les Ottomans.
1_6_33,"Y después de la guerra, gobernó Valaquia. Hasta que ciertos rumores llegaron a La Orden años después.","And after the war, he ruled Wallachia. Until certain rumors reached The Order years after.","E, após a guerra, governou a Valáquia. Até que certos rumores chegaram à Ordem alguns anos depois.","Et après la guerre, il a régné sur la Valachie. Jusqu'à ce que des rumeurs atteignent L'Ordre."
1_6_34,"Y estos rumores conllevaron a una investigación secreta, que dio como resultado...","And these rumors led to a secret investigation, which resulted in...","E esses rumores levaram a uma investigação secreta, cujo resultado foi que...","Et ces rumeurs ont mené a une enquete secrete, qui à résulté sur le fait que..."
1_6_35,"Que Vlad Tepes, ahora conocido como Drácula, hizo un pacto con un Toziuha.","That Vlad Tepes, now known as Dracula, made a pact with a Toziuha.","Vlad Tepes, agora conhecido como Drácula, fez um pacto com um Toziuha.","Que Vlad Tepes, maintenant nommé Dracula, à fait un pacte avec un Toziuha."
1_6_36,"Los Toziuha, demonios de gran inteligencia, representan la mayor amenaza contra los humanos.","The Toziuha, demons of great intelligence, represent the greatest threat against humans.","Os Toziuha, demônios de grande inteligência, representam a maior ameaça contra os humanos.","Les Toziuha, démons de grande intelligence, représentent la plus grande menace de l'humanité."
1_6_37,Por lo que recibir el poder de esos demonios es traicionar a la humanidad.,So to receive the power of these demons is to betray humanity.,E o ato de receber poder desses demônios representa trair toda a humanidade.,Recevoir les pouvoirs de ces démons revient à trahir toute l'humanité.
1_6_38,El hecho de que Dracula se haya aliado con un demonio representaba un grave problema de seguridad.,The fact that Dracula allied with a demon represented a serious security problem.,O fato de Drácula ter se aliado com um demônio representava um grave problema de segurança.,Le fait que Dracula s'est allié avec des démons représente un serieux probleme de sécurité.
1_6_39,Así que La Orden en Transilvania envió a su alquimista más poderoso después de Vlad Tepes.,So The Order in Transylvania sent its most powerful alchemist after Vlad Tepes.,"Então, a Ordem da Transilvânia enviou seu alquimista mais poderoso atrás de Vlad Tepes.",L'Ordre en Transylvanie à envoyé son plus puissant Alchimiste contre Vlad Tepes.
1_6_40,Abraham Van Helsing logró ejecutar a Drácula...,Abraham Van Helsing managed to execute Dracula...,Abraham Van Helsing conseguiu exterminar Drácula...,Abraham Van Helsing réussit à exécuter Dracula...
1_6_41,O eso es lo que se pensaba.,Or so it was thought.,Ou assim se pensava.,Du moins c'est ce que nous pensions.
1_6_42,La sede de La Orden en Transilvania ha reportado que los alquimistas están siendo cazados en la noche.,The headquarters of The Order in Transylvania has reported that alchemists are being hunted at night.,O quartel general da Ordem da Transilvânia informou que os alquimistas estão sendo caçados durante a noite.,Le Quartier Général de L'Ordre en Transylvanie nous à rapporté que des alchimistes sont chassés la nuit.
1_6_43,Y sus cuerpos aparecen empalados a la mañana siguiente frente al castillo de Drácula.,And their bodies appear impaled the next morning in front of Dracula's castle.,"E seus corpos aparecem empalados na manhã seguinte, na frente do castelo de Drácula.",Et leurs corps apparaissent empalés le lendemain matin devant le château de Dracula.
1_6_44,"Con los cadáveres recuperados, se descubrió que su sangre ha sido drenada...","With the corpses recovered, it was discovered that their blood has been drained...","Com os cadáveres recuperados, foi descoberto que todo o sangue havia sido drenado...","En récupérant les cadavres, il a été découvert que leur sang avait été drainé..."
1_6_45,¿Les han drenado la sangre? ¿Qué sentido tiene hacer eso?,They've had their blood drained? What's the point of doing that?,Eles tiveram o sangue drenado? Qual o sentido em fazer isso?,Ils avaient été drainés de leur sang? Quel en est l'intéret?
1_6_46,"No lo sabemos, pero es obvio que no será para algo bueno...","We don't know, but it's obvious that it won't be for something good...","Não sabemos, mas parece óbvio que não seria para algo bom...","Nous l'ignorons, mais il est clair que cela est de mauvaise augure..."
1_6_47,"Y además, cientos de demonios han invadido el castillo y asesinan a cualquiera que se acerque.","And besides, hundreds of demons have invaded the castle and murder anyone who comes near.","Além disso, centenas de demônios invadiram o castelo e matam qualquer um que se aproxime.","De plus, des centaines de démons ont envahi le château et tuent ceux qui s'en approchent."
1_6_48,Se confirmó que el poder que emana desde la parte más alta del castillo es el mismo que se vio en Drácula.,It was confirmed that the power emanating from the highest part of the castle is Dracula.,Foi confirmado que o poder que emana da parte mais alta do castelo pertence ao próprio Drácula.,Il a été confirmé que la puissance qui émane depuis le plus haut point du château provient de Dracula.
1_6_49,"¿Así que esta persona, Drácula, de alguna manera ha resucitado?","So this person, Dracula, has somehow been resurrected?","Então essa pessoa, Drácula, de alguma maneira ressuscitou?","Et cette personne, Dracula, comment a-t-il réssucité?"
1_6_50,Tomando en cuenta que Vlad Tepes dejó de ser humano al hacer un pacto con un Toziuha...,Knowing that Vlad Tepes ceased to be human by making a pact with a Toziuha...,Levando em conta que Vlad Tepes deixou de ser humano ao fazer um pacto com um Toziuha...,Sachant que Vald Tepes a cessé d'être humain en pactisant avec un Toziuha...
1_6_51,Las leyes naturales humanas ya no aplicarían para él. Por lo que eso parece...,Human natural laws would no longer apply to him. So it would seem...,As leis naturais humanas já não se aplicam à ele. Então isso significa que...,"Les lois humaines ne doivent plus s'appliquer à lui, Il semblerait... "
1_6_52,Drácula está buscando venganza.,Dracula is seeking revenge.,Drácula procura por vingança.,Dracula cherche à se venger.
1_6_53,Se ha perdido contacto con Van Helsing luego de que fuera asignado a una misión lejos de Transilvania.,Contact with Van Helsing has been lost after he was assigned to a mission far from Transylvania.,O contato com Van Helsing foi perdido logo após ele ser designado para uma missão longe da Transilvânia.,Le contact avec Van Helsing à été perdu après qu'il ai été envoyé en mission loin de la Transylvanie.
1_6_54,"Así que por ahora, no hay nadie capaz de hacerle frente a Drácula.","So for now, there is no one capable of fight against Dracula's forces.","Dito isso, por enquanto, não existe nada capaz de fazer frente ante a força de Drácula.","Donc pour le moment, il n'y a personne capable d'affronter les forces de Dracula."
1_6_55,"Por lo que si quieres intentarlo, te podría envíar a Transilvania.","So if you want to try, I could send you to Transylvania.","Então, se você quiser tentar, posso te enviar até a Transilvânia.","Si tu veux essayer, je peux t'envoyer en Transylvanie"
1_6_56,"No importa de quien se trate, lo haré, destruiré lo que sea que esté gobernando en ese castillo.","No matter who it is, I'll do it, I'll destroy whatever is ruling that castle.","Não importa de quem se trate, farei isso e destruirei quem quer que esteja governando esse castelo.","Peut importe qui c'est, je le ferais, je détruirais ce qui contrôle ce château"
1_6_57,"Vaya, cuánta confianza tienes. Está bien, escribiré una carta y daré aviso a la sede en Transilvania.","How confident you are. All right, I'll notify to headquarters in Transylvania.","Que confiante. Tudo bem, irei notificar o quartel general na Transilvânia.","Quelle confiance. Très bien, je vais en informer le Quartier Général en Transylvanie."
1_6_58,"Será interesante ver si logras hacer algo, teniendo en cuenta que...","It will be interesting to see if you do something, considering...","Será interessante ver se consegue fazer algo, considerando que...","Cela va être interessant de voir si tu arrives à quelque chose, considérant que..."
