keys,es,en,pt_BR,zh_CN,fr
GAMEPAD_CONNECTED,Control conectado,Controller connected,Controle conectado,手柄已连接,Contrôleur connecté
GAMEPAD_DISCONNECTED,Control desconectado,Controller disconnected,Controle desconectado,手柄已断开,Contrôleur déconnecté
CONF_DEFAULT,Reestablecer configuración por defecto,Reset to default settings,Restaurar configuração inicial,恢复默认设置,Rétablir la configuration par défaut
CONF_BY_DEFAULT_DONE,Configuración por defecto realizado,Default configuration complete,Configuração inicial realizado,默认配置已完成,Configuration par défaut rétablie
INPUT_DEVICE_INCORRECT,Se usó el dispositivo incorrecto,Input from incorrect device,Uso de dispositivo incorreto,输入设备不正确,Périphérique incorrect utilisé
FULLSCREEN,Pantalla completa,Fullscreen,Tela inteira,全屏,Plein écran
SELECT_NEW_ICON_FOR_ACTION,Selecciona el nuevo ícono para:\n%s,Select new icon for:\n%s,Selecione novo ícone para:\n%s ,为以下操作选择新图标：\n%s,Sélectionne la nouvelle icône pour : \n%s
SELECT_ICON_TO_CHANGE,Selecciona el ícono a cambiar,Select the icon to be changed,Selecione o ícone para trocar,选择要更改的图标,Sélectionne l'icône à changer
TEST_GAMEPAD,Probar control,Test Controller,Testar Controle,测试手柄,Tester le contrôleur
MAPPING_UPDATED,Mapeo actualizado,Mapping updated,Mapeamento atualizado,映射已更新,Mappage mis à jour
SEE_HELP,Ver la ayuda,See help,Ver Ajuda,查看帮助,Voir l'aide
OPENING_LINK_WEB,Abriendo enlace web,Opening weblink,Abrindo link,正在打开网页链接,Ouverture du lien web
SHOW_MINIMAP,Mostrar Minimapa,Show Minimap,Mostrar mini-mapa,显示小地图,Afficher la Mini-Carte
MINIMAP_VISIBILITY,Visibilidad de Minimapa,Minimap visibility,Visibilidade do mini-mapa,小地图可见性,Visibilité de la Mini-Carte
ELEMENTAL_CIRCUIT,Circuito Elemental,Elemental Circuit,Circuito Elemental,元素回路,Circuit Élémentaire
ACTION,Acción,Action,Ação,动作,Action
ABILITY,Habilidad,Skill,Habilidade,能力,Compétence
SUBWEAPON,Subarma,Sub-Weapon,Arma secundária,副武器,Arme secondaire
HEALTH_RECOVERED,Salud Recuperada,Restored Health,Saúde recuperada,生命已恢复,Santé Récupérée
ALCHEMY,Alquimia,Alchemy,Alquimia,炼金术,Alchimie
INVENTORY,Inventario,Inventory,Inventário,物品栏,Inventaire
EQUIP,Equipo,Equip,Equipar,装备,Équipement
TIME,Tiempo,Time,Tempo,时间,Temps
AREA,Área,Area,Área,区域,Zone
DEATHS,Muertes,Deaths,Mortes,死亡次数,Morts
SCS,sgs,scs,Segundos,秒,sgs
ALLOY,Aleación,Alloy,Liga,合金,Alliage
QUANTITY,Cantidad,Quantity,Quantidade,数量,Quantité
AXE,Hacha,Axe,Machado,斧,Hache
SHURIKEN,Shuriken,Shuriken,Shuriken,手里剑,Shuriken
KNIFES,Cuchillos,Knives,Facas,飞刀,Couteaux
TORNADO_BLADES,Tornado de Cuchillas,Tornado Blades,Tornado de Lâminas,旋刃风暴,Tornade de Couteaux
HANDFAN,Abanico de mano,Hand Fan,Leque de Mão,团扇,Éventail à main
DOUBLE_JUMP,Doble Salto,Double Jump,Pulo duplo,二段跳,Double Saut
DODGE,Esquivar,Dodge,Esquivar,闪避,Esquiver
SLIDE,Deslizarse,Slide,Deslizar,滑行,Glisser
AIR_KICK,Patada Aérea,Dive Kick,Voadora,下踢,Coup de Pied Aérien
WALL_SLIDE,Deslizamiento en pared,Wall Slide,Deslizar na parede,蹬墙滑行,Glissade sur Mur
SWING,Balanceo de látigo,Whip Swing,Chicotada,鞭索摆荡,Balance du Fouet
BLADE_WHIP,Látigo de Sangre,Blood Whip,Chicote de sangue,血鞭,Fouet de Sang
WHIP_CRUSH,Ataque Crush,Whip Crush,Chicotada Esmagadora,鞭击粉碎,Fouet Fracassant
BLOOD_CONTROL,Control Sanguíneo,Blood Control,Controle Sanguíneo,控血,Contrôle du Sang
MULTIPLE_EQUIPMENT,Equipamiento Múltiple,Multiple Equipment,Equipamento Múltiplo,多套装备,Équipement Multiple
CHAINED_ATTACK,Ataque Encadenado,Chained Attack,Ataque em Sequência,连段攻击,Attaque Enchaînée
EMPTY_INVENTORY,Inventario Vacío,Empty Inventory,Inventário Vazio,物品栏为空,Inventaire Vide
STATUS,Estado,Status,Estado,状态,État
GOOD,Bueno,Good,Bem,正常,Bon
INJURED,Lesionado,Injured,Ferida,受伤,Blessure
POISONED,Envenenado,Poisoned,Envenenada,中毒,Poison
CURSED,Maldito,Cursed,Amaldiçoada,诅咒,Maudit
CENTER_MAP,Centrar,Center,Centro,居中,Centrer
ADD_MARKER,Añadir Marcador,Add Marker,Adicionar Marcador,添加标记,Ajouter un Marqueur
EDIT_MARKER,Editar Marcador,Edit Marker,Editar Marcador,编辑标记,Modifier un Marqueur
QUICKSAVE_AND_EXIT,Guardado rápido y Salir,Quicksave & Exit,Salvamento rápido & Sair,快速保存并退出,Sauvegarder rapidement et Quitter
EXIT_N_GOTO_MMENU,Salir e ir al Menú Principal,Exit & go to Main menu,Sair & Ir até o Menu Principal,退出并返回主菜单,Quitter et aller au Menu Principal
MAP,Mapa,Map,Mapa,地图,Carte
KEYSOBJECTS,Objetos Clave,Key Items,Objetos Chave,关键物品,Objets Clés
TREASURES,Tesoros,Treasures,Tesouros,宝物,Trésors
EMPTY_LIST,Lista Vacía,Empty List,Lista Vazia,列表为空,Liste Vide
SAVE_MARKER,Guardar Marcador,Save Marker,Salvar Marcador,保存标记,Sauvegarder le Marqueur
DELETE_MARKER,Eliminar Marcador,Delete Marker,Apagar Marcador,删除标记,Supprimer le Marqueur
ENEMIES,Enemigos,Enemies,Inimigos,敌人,Ennemis
ERASE,Borrar,Erase,Apagar,清除,Effacer
WRITE_NAME_FOR_SAVE,Escriba un nombre para el guardado...,Type a name for the save...,Escreva um nome para salvar,请输入存档名称...,Donnez un nom pour la sauvegarde...
GAME_SAVED,Partida Guardada,Game Saved,Jogo Salvo,游戏已保存,Partie Sauvegardée
QUICKSAVE_DETECTED,Archivo de guardado rápido encontrado,Quicksave file found,Arquivo de salvamento rápido encontrado,检测到快速存档文件,Fichier de sauvegarde rapide trouvé
ABOUT_QUICKSAVE_EXISTS,Al cargar partida se eliminará el archivo de guardado rápido,Loading game will delete the quick save file,Carregar o jogo irá apagar o arquivo de salvamento rápido,读取游戏将删除快速存档文件,"En chargeant la partie, le fichier de sauvegarde rapide sera supprimé"
LOAD_QUICKSAVE,Cargar archivo de guardado rápido,Load quicksave file,Carregar arquivo de salvamento rápido,读取快速存档文件,Charger le fichier de sauvegarde rapide
LOAD_GAME,Cargar partida (Estatua),Load game (Statue),Carregar o jogo (Estátua),读取游戏（雕像）,Charger la partie (Statue)
DELETE_DATA,Eliminar datos,Delete data,Apagar dados,删除数据,Supprimer les données
SELECT_SLOT_TO_DELETE,Seleccione Slot para eliminar,Select save slot to delete,Selecione arquivo salvo para apagar,选择要删除的存档位,Sélectionnez un emplacement pour supprimer
THIS_ACTION_CANT_BE_UNDO,Esta acción no podrá deshacerse,This action cannot be undone,Essa ação não pode ser desfeita,此操作无法撤销,Cette action ne pourra pas être annulée
DELETE,Eliminar,Delete,Apagar,删除,Supprimer
DATA_ERASE,Datos eliminados,Deleted data,Dados Deletados,数据已删除,Données supprimées
NEW_GAME,Nueva Partida,New Game,Novo Jogo,新游戏,Nouvelle Partie
DEVROOM,La sala de las almas torturadas,Hall of Tortured Souls,Salão das Almas Torturadas,受折磨灵魂之厅,La salle des âmes torturées
SHOW_DEATH_COUNTER,Mostrar contador de muertes,Show death counter,Mostrar contador de mortes,显示死亡计数,Afficher le compteur de morts
ATK_TITLE,Ataque,Attack,Ataque,攻击,Attaque
DEF_TITLE,Defensa,Defense,Defesa,防御,Défense
INT_TITLE,Inteligencia,Intelligence,Inteligência,智力,Intelligence
HP_TITLE,Salud,Health,Saúde,生命,Santé
MP_TITLE,Mana,Mana,Mana,法力,Mana
SP_TITLE,Estamina,Stamina,Vigor,耐力,Endurance
POTIONMAX_TITLE,Maximo de pociones,Potions Max,Máximo de Poções,药水上限,Maximum de potions
ACCESORY,Accesorio,Accessory,Acessório,饰品,Accessoire
EQUIP_TOP,Equipo Superior,Top Equip,Equipamento Superior,上部装备,Tête
EQUIP_MID,Equipo Medio,Mid Equip,Equipamento Médio,中部装备,Buste
EQUIP_BOTTOM,Equipo Inferior,Bottom Equip,Equipamento Inferior,下部装备,Bottes
NONE,Ninguno,None,Nenhum,无,Aucun
USE,Usar,Use,Usar,使用,Utiliser
PREVIOUS,Anterior,Previous,Anterior,上一个,Précédent
NEXT,Siguiente,Next,Próximo,下一个,Suivant
SCREEN_FILTER,Filtro de pantalla,Screen Filter,Filtro de tela,屏幕滤镜,Filtre d'écran
OBJECT,Objeto,Item,Objeto,物品,Objet
ELEMENT,Elemento,Element,Elemento,元素,Élément
OBJECT_KEY,Objeto clave,Key item,Objeto Chave,关键物品,Objet clé
TREASURE,Tesoro,Treasure,Tesouro,宝物,Trésor
FINDINGS,Textos,Findings,Achados,发现物,Textes
PRESS_DIR_TO_USE_QUICKMENU,Mantén presionado cualquier dirección para usar el item,Press any direction to use the desired item,Pressione qualquer direção para usar o item desejado,按下任意方向即可使用目标物品,Maintenez appuyée n'importe quelle direction pour utiliser l'objet
WORK_IN_PROGRESS,Trabajo en progreso...,Work in progress...,Trabalho em progresso…,开发中...,Travail en cours...
EDIT_TOUCH_BTNS,Editar Botones Táctiles,Edit Touch Buttons,Editar Botões de Toque,编辑触控按钮,Modifier les Boutons Tactiles
SAVE,Guardar,Save,Salvar,保存,Sauvegarder
RESET,Reestablecer,Reset,Recomeçar,重置,Réinitialiser
OPACITY,Opacidad,Opacity,Opacidade,透明度,Opacité
SIZE,Escala,Size,Tamanho,大小,Échelle
MINIMAP,Minimapa,Minimap,Mini-mapa,小地图,Mini-Carte
ABOUT_CARPATITIA_DEATH,La Carpatitia permite regresar a la última estatua de guardado sin perder el progreso alcanzado.,The Carpatithia allows you to return to the last save statue without losing progress.,Carpatitia permite retornar à última estátua de salvamento sem perder o seu progresso,卡尔帕提提亚可让你返回上一个保存雕像处，而不会失去当前进度。,La Carpatitia permet de revenir à la dernière statue de sauvegarde sans perdre les progrès réalisés.
ABOUT_REVIVE,Revivir permite regresar a la última estatua de guardado sin perder el progreso alcanzado.,Revive allows you to return to the last save statue without losing progress.,Reviver permite retornar à última estátua de salvamento sem perder o seu progresso,复活可让你返回上一个保存雕像处，而不会失去当前进度。,Ressusciter permet de revenir à la dernière statue de sauvegarde sans perdre les progrès réalisés.
USE_CARPATITIAX2,Usar Carpatitia x2,Use Carpatithia x2,Usar Carpatithia x2,使用卡尔帕提提亚 x2,Utiliser Carpatitia x2
AMPHIBIOUS_BREATHING,Respiración Anfibia,Amphibious Breathing,Respiração Anfíbia,两栖呼吸,Respiration Amphibie
SWAPSET,Cambiar Set,Change Set,Mudar Set,切换套装,Changer l'ensemble
ONSCREENBUTTONSALWAYSVISIBLE,Botones en pantalla siempre visibles,On-screen buttons always visible,Botões na tela sempre visíveis,屏幕按钮始终可见,Boutons à l'écran toujours visibles
CREDITS,Créditos,Credits,Créditos,制作人员,Crédits
GETTHEPREQUEL,Jugar la Precuela,Play the Prequel,Jogar prólogo,游玩前传,Jouer au Préquelle
DETAILS_QUICKMENU,Info extra en Menú Rápido,Extra info on Quick Menu,Info extra no Menu Rápido,快捷菜单额外信息,Info supplémentaire dans le Menu Rapide
GALLERY,Galería,Gallery,Galeria,画廊,Galerie
UNBREAKABLEWILL,Voluntad Inquebrantable,Unbreakable Will,Vontade Indomável,不屈意志,Volonté Inébranlable
ABOUTUNBREAKABLEWILL,"Teniendo más del 20% de vida, al recibir daño critico el jugador todavía no morirá.","If the player has more than 20% health, they will not die when critically hit.","Se o jogador tem menos de 20% de saúde, não morrerá quando receber dano crítico.",若玩家生命高于 20%，受到致命伤害时不会死亡。,"Si le joueur reçoit des dégâts critiques en ayant plus de 20 % de vie, le joueur ne mourra pas."
DYNAMICKNOCKBACK,Knockback Dinamico,Dynamic Knockback,Empurrão Dinâmico,动态击退,Recul Dynamique
ABOUTDYNAMICKNOCKBACK,El jugador recibirá un empuje de acuerdo al daño recibido.,The player will experience knockback corresponding to the damage taken.,O jogador sofrerá um empurrão correspondendo ao dano recebido.,玩家会根据所受伤害产生对应的击退效果。,Le joueur recevra une poussée proportionnelle aux dégâts reçus.
DIFFICULTY_OPTIONS,Opciones de Dificultad,Difficulty Options,Opções de Dificuldade,难度选项,Options de Difficulté
THISLANGISFANMADE,Traducción hecha por fans,Fan-made Translation,Tradução feita por fãs,粉丝翻译,Traduction faite par des fans
ABOUTFANMADETRANSLATIONS,"Esta es una traducción hecha por fans, cualquier persona es bienvenida a ayudar a traducir el juego voluntariamente.",This is a fan-made translation. Anyone is welcome to help translate the game voluntarily.,Esta é uma tradução feita por fã. Todos são bem vindos a ajudar a traduzir o jogo de forma voluntária.,这是粉丝制作的翻译。欢迎任何人自愿参与游戏翻译。,"Ceci est une traduction faite par des fans, toute personne est la bienvenue pour aider à traduire le jeu de manière volontaire."
LEARNMORE,Conocer más,Learn more,Saiba mais,了解更多,En savoir plus
TOBECONTINUED,Esta historia continuará...,To be continued...,Continua…,未完待续...,Cette histoire continuera...
WEBSITE,Sitio web,Website,Website,网站,Site web
AERIAL_DASH,Dash aéreo,Aerial Dash,Dash aéreo,空中冲刺,Projection aérienne
WHILECIRUITBTNPRESSED,Manteniendo botón [Circuito],Holding [Circuit] button,Segurando o botão de [Circuito],按住 [元素回路] 按钮,Maintenir le bouton [Circuit]
USEVIRTUALJOYSTICK,Usar Palanca Virtual,Use Virtual Stick,Usar Controle Virtual,使用虚拟摇杆,Utiliser le Joystick Virtuel
SAVE_CHANGES,Guardar Cambios,Save Changes,Salvar alterações,保存更改,Sauvegarder les changements
LOADING,Cargando...,Loading...,Carregando…,加载中...,Chargement...
OBTAINED,Obtenido,Obtained,Obtido,已获得,Obtenu
BUY,Comprar,Buy,Comprar,购买,Acheter
SELL,Vender,Sell,Vender,出售,Vendre
SHOP,Tienda,Shop,Loja,商店,Boutique
SOLD,Vendido,Sold,Vendido,已售出,Vendu
SELECT_STATION,Seleccionar Estación,Select Station,Selecionar Estação,选择车站,Sélectionner Station
ZOOMIN,Acercar,Zoom in,Ampliar,放大,Zoom avant
ZOOMOUT,Alejar,Zoom out,Diminuir,缩小,Zoom arrière
DESPERATIONATTACK,Ataque de Desesperación,Desperation Attack,Ataque Dramático,绝望一击,Attaque de Désespoir
ABOUTDESPERATIONATTACK,"Al vencer a un Adeptis, este realizará un último ataque.","Upon defeating an Adeptis, it will perform one last attack.","Quando um Adeptis é derrotado, fará um último ataque.",击败一名 Adeptis 后，对方会发动最后一击。,"Après avoir battu un Adeptis, celui-ci réalisera une dernière attaque."
GETREWARD,Obtener recompensa,Get reward,Receber recompensa,领取奖励,Obtenir une récompense
ACHIEVEMENTS,Logros,Achievements,Conquistas,成就,Réalisations
ACHIEVEMENT_OBTAINED,Logro obtenido,Achievement obtained,Conquista obtida,获得成就,Réalisation obtenue
ACCEPT_CANCEL_CONFLICT,Botones Aceptar y Cancelar en conflicto,Conflicting Accept and Cancel buttons,Botões de Aceitar e Cancelar em conflito,确认与取消按钮冲突,Les boutons Accepter et Annuler sont en conflit
FOCUS_BTN_CONFLICT,Conflicting Previous Page and Next Page buttons,Conflicting Previous Page and Next Page buttons,Botões de Página Anterior e Próxima Página em conflito,上一页与下一页按钮冲突,Conflit entre les boutons Page Précédente et Page Suivante
PRESSSESCTOEXIT,"Presione la tecla ""Escape"" para salir del menú de calibración.","Press ""Escape"" key to exit from calibration menu.",Pressione “Escape” para sair do menu de calibragem.,按“Escape”键退出校准菜单。,"Appuyez sur la touche ""Échap"" pour quitter le menu de calibration."
START_CALIBRATION,Iniciar calibración,Start calibration,Começar calibragem,开始校准,Lancer la calibration
THEBUTTONALREADYADDED,El botón ya ha sido asignado,The button has already been assigned,O botão já foi atribuído,该按钮已被分配,Le bouton a déjà été attribué
PRESSTHEBUTTONINGAMEPAD,Presione el botón correspondiente a la posición señalada.,Press the button corresponding to the indicated position.,Pressione o botão correspondente a posição indicada.,按下与所示位置对应的按钮。,Appuyez sur le bouton correspondant à la position indiquée.
HERECANMAPYOURCONTROL,Aquí podrá asignar los botones de su control.,Here you can assign the buttons on your controller.,Aqui você pode atribuir os botões do seu controle.,你可以在这里分配手柄按键。,"Ici, vous pourrez attribuer les boutons de votre contrôleur."
SELECTADEVICE,Seleccione un dispositivo,Select a device,Selecione um dispositivo,选择设备,Sélectionnez un périphérique
CALIBRATIONFINISHED,Calibración finalizada,Calibration finished,Calibragem finalizada,校准完成,Calibration terminée
RESTARTMAYBEREQUIRED,Reinicie el juego para aplicar cambios.,Restart the game to apply changes.,Reinicie o game para aplicar as mudanças.,请重启游戏以应用更改。,Redémarrez le jeu pour appliquer les changements.
CALIBRATEGAMEPAD,Calibrar Control,Calibrate Controller,Calibrar Controle,校准手柄,Calibrer le Contrôleur
SCHEME,Esquema,Scheme,Esquema,方案,Schéma
CHANGE_SCHEME_ICONS,Cambiar esquema de íconos,Change Scheme icons,Mudar ícones do esquema,更改方案图标,Changer le schéma des icônes
CHANGESSAVED,Cambios guardados,Changes saved,Mudanças salvas,更改已保存,Changements sauvegardés
PRESSSPACETOSTART,"Presiona ""Espacio"" para comenzar","Press ""Space"" to start",Pressione “Espaço” para começar,按“Space”开始,"Appuyez sur ""Espace"" pour commencer"
AGAMEPADDETECTED,Se ha detectado un control conectado. ¿Desea configurarlo ahora?,A connected controller has been detected. Do you want to configure it now?,"Um controle conectado foi detectado, Quer configurá-lo agora?",检测到已连接的手柄。是否现在进行配置？,Un contrôleur a été détecté. Souhaitez-vous le configurer maintenant ?
IGOTYOU,¡Te tengo!,I got you!,Te peguei!,抓到你了！,Je te tiens !
SPECTROSCOPE,Espectroscopio,Spectroscope,Espectrômetro,光谱仪,Spectroscope
INCREASE,Incrementar,Increase,Aumentar,增加,Augmenter
NEUMANPUZZLELABHINT,"De los siete metales, se encuentra aquella que resplandece como la estrella del día. A su lado, reflejando aquella luz, la guardiana de la noche.","Of the seven metals, there is one that shines like the day star. Next to it, reflecting that light, the guardian of the night.","Dos sete metais, tem um que brilha como a estrela do dia. Ao seu lado, refletindo aquela luz, a guardiã da noite.",七种金属中，有其一如白昼之星般闪耀。在它身侧，映照着那光芒的，是夜之守护者。,"Parmi les sept métaux, on trouve celle qui brille comme l'étoile du jour. À ses côtés, reflétant cette lumière, la gardienne de la nuit."
WAITRESS,Camarera,Waitress,Garçonete,女侍者,Serveuse
SEE_SOCIAL_LINKS,Ver redes sociales,See social links,Ver redes sociais,查看社交链接,Voir les réseaux sociaux
DIFFICULTY_DESCRIPTION_0,No quiero estresarme.,I don't want to stress.,Eu não quero me estressar.,我不想有压力。,Je ne veux pas me stresser.
DIFFICULTY_DESCRIPTION_1,¡Muere monstruo!,Die monster!,,去死吧，怪物！,"Meurs, monstre !"
DIFFICULTY_DESCRIPTION_2,¡Te mataré a tí y a la noche! ,I'll kill you and the night! ,I'll kill you and the night! ,我要连你和黑夜一起宰了！,"Je vais te tuer, toi et la nuit !"
DIFFICULTY_DESCRIPTION_3,Prepárate para morir. Nivel máx 1.,Prepare to die. max LVL 1.,Prepare para morrer. LVL 1.,准备受死吧。最高等级 Lv1。,Prépare-toi à mourir. Niveau max 1.
SELECT_DIFFICULTY,Seleccione dificultad,Select difficulty,Selecione a dificuldade,选择难度,Sélectionnez la difficulté
LOCKED,Bloqueado,Locked,Bloqueado,已锁定,Bloqué
PRESSFORKEYBOARDARROWSETTING,"Presiona ""Enter"" para usar flechas en teclado","Press ""Enter"" for Arrow keyboard mode",Pressione “Enter” para o modo setas do teclado,按“Enter”选择方向键键盘模式,"Appuyez sur ""Entrée"" pour utiliser les flèches du clavier"
PRESSFORWASDSETTING,"Presiona ""W"" para usar modo WASD en teclado","Press ""W"" for Keyboard WASD+Mouse mode",Pressione “W” para o modo WASD do teclado + mouse,按“W”选择键盘 WASD+鼠标模式,"Appuyez sur ""W"" pour utiliser le mode WASD sur le clavier"
PRESSLETTERFILTERSCREEN,Presiona la letra del filtro de pantalla deseado,Press the letter option for screen filter,Pressione a opção de letra para o filtro de tela,按对应字母选项切换屏幕滤镜,Appuyez sur la lettre du filtre d'écran souhaité
LIBRARY_ARCHIVES,Archivos de la biblioteca,Library archives,Arquivos da biblioteca,图书馆档案,Fichiers de la bibliothèque
INTHENEXTUPDATE,En la próxima actualización...,In the next update...,Na próxima atualização…,在下次更新中...,Dans la prochaine mise à jour...
PROLOGUEFINISHED,Prólogo finalizado,Prologue finished,Prólogo finalizado,序章完成,Prologue terminé
YOUWANTGOWAGON,¿Regresar al vagón inicial del tren?,Back to the initial car of the train?,Voltar ao vagão inicial do trem?,返回列车最初的车厢？,Retourner au wagon initial du train ?
RETURNAMERITHIA,¿Regresar a Amerithia?,Return to Amerithia?,Retornar a Amerithia?,返回阿美瑞西亚？,Retourner à Amerithia ?
DIFFCHANGEDTOEASY,Dificultad cambiada,Difficulty changed,Dificuldade modificada,难度已更改,Difficulté changée
ELEMENTALSAMPLENEEDED,Se necesita una muestra elemental,An elemental sample is required,Uma amostra elemental é necessária,需要元素样本,Un échantillon élémentaire est nécessaire
ABOUTEABARRIER,Las barreras de fuego celeste solo desaparecerán cuando el [Early Access] termine.,The fire barriers will only disappear when [Early Access] ends.,As barreiras de fogo apenas desaparecerão quando o [Acesso Antecipado] acabar.,火焰屏障只会在 [Early Access] 结束后消失。,Les barrières de feu ne disparaîtront que lorsque la version [Early Access] sera terminée.
ELDRALIS_WOODS,Bosque de Eldralis,Eldralis Woods,Floresta de Eldralis,埃尔德拉利斯森林,Forêt d'Eldralis
