keys,es,en,pt_BR,zh_CN
TOZIUHA_TITLE,,Toziuha,Toziuha,托祖哈
TOZIUHA_DESC,"Se denomina ""Toziuha"" a demonios mayores, seres que cuentan con inteligencia superior al de una persona promedio. 

Sus poderes sobrepasan la comprensión humana, llegando sobrepasar sus límites en la última noche de octubre. Esto es lo que estiman los estudiosos sobre el tema.

Afortunadamente son criaturas poco frecuentes de encontrar y a pesar de su gran poder, no pueden atacar o causar daños. Por alguna razón desconocida, es como si no ""existieran"" en nuestro mundo.

Se conoce que los Toziuha buscan personas con las que hacen un ""pacto"", a cambio de una fracción de su poder, la persona ofrece su ""alma"" como medio de intercambio. No se conoce con qué fin los Toziuha realizan pactos.","They are called ""Toziuha"" [toh-see-OO-ah] to greater demons, beings that have intelligence superior to that of an average person. 

Their powers surpass human comprehension, surpassing their limits on the last night of October. This is what is estimated by scholars on the subject.

Fortunately, they are rare creatures to encounter and, despite their great power, they cannot attack or cause harm. For some unknown reason, it is as if they do not ""exist"" in our world.

The Toziuha are known to seek out people with whom they make a ""pact"", in exchange for a fraction of their power, the person offers their ""soul"" as a means of exchange. It is not known for what purpose the Toziuha make pacts.","Eles chamam de ""Toziuha"" [toh-see-OO-ah] os grande demônios, seres com uma inteligência superior do que uma pessoa comum. 

Os poderes deles superam a compreensão humana, superando seus limites na última noite de Outubro.. É o que é deduzido pelos estudiosos na área.

Felizmente, são criaturas raras de encontrar e, apesar de seu grande poder, não atacam ou causam algum mal. Por algum motivo desconhecido, é como se eles não “existissem” no nosso mundo.

Os Toziuha são conhecidos por procurarem pessoas com que desejam fazer um “pacto”, em troca de uma fração do poder deles, a pessoa oferece sua “alma”. Não é conhecido o propósito dos pactos dos Toziuha.","“托祖哈”[toh-see-OO-ah] 这一称呼，指的是高等恶魔，也就是智慧远超常人的存在。

根据相关学者的推测，它们的力量超越人类理解，并会在十月的最后一夜突破极限。

幸运的是，这类生物十分罕见；尽管力量强大，它们却无法主动攻击或造成伤害。不知出于何种原因，它们仿佛并“不存在”于我们的世界。

众所周知，托祖哈会寻找对象与之订立“契约”。作为交换，它们赐予对方一部分力量，而人则以自己的“灵魂”作为代价。至于托祖哈缔结契约的目的为何，至今仍无人知晓。"
AHUIZOTE_TITLE,,Ahuizote,Ahuizote,Ahuizote
AHUIZOTE_DESC,"Los ""Ahuizotes"" son un grupo religioso extremista, liderado por Johannes Trithemius, un hombre cuyo pasado se desconoce. Sus integrantes llevan máscaras y ropas negras para representar sus ""pecados"".

Sus creencias se basan en la existencia de una persona llamada ""Athos"", que trajo sabiduría y paz a un antiguo reino sumido en la guerra; siendo denominado como el verdadero padre de la alquimia.

Se dice que Athos fue acusado de herejía y condenado a muerte, traicionado por su mejor amigo, ""Hermes Trimegisto"". Los Ahuizotes claman que llegará un día en el que ellos lograrán el ""milagro"" de la resurrección y traer a Athos de nuevo a la vida.

Sin embargo, no se han encontrado evidencias de la existencia de esta persona llamada Athos.","The ""Ahuizotes"" [ah-wee-ZOH-teh] are an extremist religious group, led by Johannes Trithemius, a man whose past is unknown. Its members wear masks and black clothes to represent their ""sins"".

Their beliefs are based on the existence of a person called ""Athos"", who brought wisdom and peace to an ancient kingdom mired in war; being called the true father of alchemy.

It is said that Athos was accused of heresy and condemned to death, betrayed by his best friend, ""Hermes Trimegistus"". The Ahuizotes claim that a day will come when they will achieve the miracle of resurrection and bring Athos back to life.

However, no evidence of the existence of this person named Athos has been found.","""Ahuizotes"" [ah-wee-ZOH-teh] é um grupo extremista religioso, liderado po Johannes Trithemius, um homem com o passado desconhecido. Seus membros usam máscaras e roupas pretas para representar seus ""pecados"".

Suas crenças são baseados na existência de um ente chamado ""Athos"", que trouxe sabedoria e paz a um reino antigo enterrado na guerra; Sendo chamado o verdadeiro pai da alquimia.

É dito que Athos foi acusado de heresia e condenado a morte, traído pelo melhor amigo, ""Hermes Trimegistus"". Os Ahuizotes clamam que o dia chegará quando eles alcançarão o milagre da ressureição e trazer Athos de volta a vida.

Porém, não há evidência encontrada da existência dessa pessoa chamada Athos.","“Ahuizotes”[ah-wee-ZOH-teh] 是一个极端宗教团体，由约翰内斯·特里特米乌斯领导；此人的过去无人知晓。其成员佩戴面具、身着黑衣，以象征自身的“罪”。

他们的信仰核心，是一位名叫“阿托斯”的人物。传说他曾为一个深陷战乱的古王国带来智慧与和平，因此被称为真正的炼金术之父。

据说阿托斯因异端之名被判处死刑，而出卖他的人，正是他最好的朋友“赫尔墨斯·特里墨吉斯托斯”。Ahuizotes 宣称，总有一天他们会实现复活的奇迹，让阿托斯重返人世。

然而，至今仍未找到任何能证明这位名为阿托斯的人真实存在的证据。"
ADEPTIS_TITLE,,Adeptis,Adeptis,Adeptis
ADEPTIS_DESC,"De entre los Ahuizotes, existe un grupo selecto de personas que ademas de ser miembros de la secta, también son Alquimistas. Operan bajo las órdenes directas de Johannes.

El único adeptis del que se tiene registro, es Eva Brahm. Una mujer que se dice fue la primera Adeptis, además de posiblemente tener algún tipo de relación cercana con Johannes.","Among the Ahuizotes, there is a select group of people who, besides being members of the sect, are also Alchemists. They operate under the direct orders of Johannes.

The only adeptis of whom details are known is Eva Brahm. A woman who is said to be the first Adeptis, as well as possibly having some kind of close relationship with Johannes.","Entre os Ahuizotes, há um seleto grupo que, apesar de serem memebros da seita, são Alquimistas. Eles operam sob as ordens diretas de Johannes.

A única adeptis cujo os detalhes são conhecidos é sobre Eva Brahm. Uma mulher que é conhecida como a primeira Adeptis, e possivelmente tendo alguma relação próxima com Johannes.","在 Adeptis 之中，有一群被特别挑选出来的人；他们不仅是教派成员，同时也是炼金术师。他们直接听命于约翰内斯。

目前唯一有较明确情报的 Adeptis 是伊娃·布拉姆。据说她是第一位 Adeptis，并且很可能与约翰内斯之间存在某种亲密关系。"
RACHEL_TITLE,,Rachel Lavoisier,Rachel Lavosier,瑞秋·拉瓦锡
RACHEL_DESC,"Alquimista de Cobre. Una mujer de carácter tranquilo y amable. Actualmente está retirada, fue compañera de la actual directora de La Orden.

Una de sus últimas misiones involucró un orfanato que estaba siendo controlado en secreto por los Ahuizotes. Ahí conoció a una niña llamada Xandria.

Rachel adoptó a la niña y viendo el potencial como Alquimista le enseñó a pelear.","Copper Alchemist. A woman of calm and kind character. Currently retired, she was a partner of the current director of The Order.

One of her last missions involved an orphanage that was being secretly controlled by the Ahuizotes. There she met a little girl named Xandria.

Rachel adopted the girl and, seeing potential as an Alchemist, taught her how to fight.","Alquimista de Cobre. Uma mulher de caráter calmo e gentil. Atualmente aposentada, ela foi companheira da atual diretora da Ordem.

Uma das últimas missões dela envolveu um orfanato que estava controlado secretamente pelos Ahuizotes. Nesse local, ela encontrou uma criança chamada Xandria.

Rachel adotou a criança e vendo o potencial de ser uma Alquimista e a ensinando como lutar.","铜之炼金术师。性格沉静而温和的女性。如今已退休，曾是现任教团分部负责人的搭档。

她最后几次任务中的一次，牵涉到一所被 Ahuizotes 暗中控制的孤儿院。也正是在那里，她遇见了一个名叫珊德莉雅的小女孩。

瑞秋收养了这个孩子，并在看出她具备炼金术师资质后，亲自教她战斗。"
ALESSA_TITLE,,Alessa Bollstad,Alessa Bollstad,娅蕾莎·博斯塔德
ALESSA_DESC,"Es la directora de La Orden en Amerithia. Detrás de esa dulce sonrisa, se oculta una temible mujer. Se desconoce cuál es el elemento que Alessa domina, ya que quienes se han enfrentado a ella, no han vivido para contarlo.","She is the director of The Order in Amerithia. Behind that sweet smile hides a fearsome woman. The element that Alessa masters is unknown, as those who have faced her have not lived to tell the tale.","Ela é a diretora da Ordem em Amerithia. Por detrás do doce sorriso, esconde uma mulher assustadora. O elemento que Alessa domina é desconhecido, da mesma forma daqueles que a enfrentaram não viveram para contar a história.",她是阿美瑞西亚教团的负责人。那抹甜美的笑容背后，藏着的是一个令人畏惧的女人。娅蕾莎所掌握的元素至今无人知晓，因为凡是与她交手的人，都没能活着讲出经过。
THEORDER_TITLE,La Orden,The Order,A Ordem,教团
THEORDER_DESC,"Una antigua organización de Alquimistas fundada por Hermes Trimegisto, cuyo objetivo es el de proteger a las personas de los Demonios o cualquier amenaza que atente a la paz.

A pesar de contar con sedes en diferentes países, cada una es independiente y trabaja de formas distintas. Son raras las ocasiones en la que una sede solicita refuerzos o reuniones con otras sedes.","An ancient organization of Alchemists founded by Hermes Trimegistus, whose objective is to protect people from Demons or any threat to peace.

Despite having headquarters in different countries, each one is independent and works in different ways. It is rare that one branch requests reinforcements or meetings with other branches.","Uma antiga organização de Alquimistas fundada por Hermes Trimegistus, cujo o objetivo é proteger a humanidade dos Demônios ou qualquer ameaça a paz.

Apesar de ter sedes em diferentes países, cada um é independente e funciona de diferentes formas. É raro que uma filial solicitar reforços ou reuniões com outras filiais.","由赫尔墨斯·特里墨吉斯托斯创建的古老炼金术师组织，其宗旨是保护人们免受恶魔或任何威胁和平之物的侵害。

尽管它在不同国家都设有据点，但各处分部彼此独立，运作方式也不尽相同。某个分部向其他分部请求增援或召开会面，是极为少见的事。"
MARGARET_TITLE,,Margaret Curie,Margaret Curie,玛格丽特·居里
MARGARET_DESC,"Directora de la división de investigación de La Orden en Amerithia. Es una persona de gran inteligencia que ha hecho aportes importantes con artefactos que ayudan a Alquimistas en su lucha contra demonios.

Se encuentra generalmente en el laboratorio de alquimia, aunque rara vez sale en busca de materiales o muestras para sus investigaciones.","Director of the research division of The Order in Amerithia. She is a person of great intelligence who has made important contributions with artifacts that help Alchemists in their fight against demons.

She is usually in the alchemy laboratory, although she rarely goes out in search of materials or samples for her research.","Diretora da divisão de pesquisas da Ordem em Amerithia. Ela é uma pessoa de grande inteligência que fez importantes contribuições com artefatos que ajudam Alquimistas na luta contra os demônios.

Ela normalmente está no laboratório de alquimia, apesar de qu ela raramente sai à procura de materiais ou amostras para as suas pesquisas.","阿美瑞西亚教团研究部门的负责人。她是一位极其聪慧的人物，曾通过多种器具与装置，为炼金术师对抗恶魔的战斗作出重要贡献。

她通常待在炼金实验室里，不过偶尔也会亲自外出，寻找研究所需的素材或样本。"
GABRIEL_TITLE,,Gabriel Eclair,Gabriel Eclair,加布里埃尔·埃克莱尔
GABRIEL_DESC,"Trabaja en una tienda de Amerithia. Originario de la ciudad de Grijayla tuvo que mudarse debido a una invasión de demonios en Grijayla, durante el incidente su hija llamada Aura fue raptada por los Ahuizotes.","He works in a store in Amerithia. Originally from the city of Grijayla, he had to move due to a demon invasion in Grijayla during the incident where his daughter, named Aura, was kidnapped by the Ahuizotes.","Ele trabalha numa loja em Amerithia. Originalmente da cidade de Grijayla ele teve que se mudar por conta da invasão demoníaca em Grijayla, durante o incidente, sua filha chamada Aura foi raptada pelos Ahuizotes.",他在阿美瑞西亚的一家商店工作，原本来自格里哈伊拉。由于那次恶魔入侵格里哈伊拉、女儿奥拉又被 Ahuizotes 掳走，他不得不离开故乡搬迁至此。
ABOUT_STRALSUND_TITLE,Stralsund y Cavendish,Stralsund & Cavendish,Stralsund & Cavendish,斯特拉尔松德与卡文迪许
ABOUT_STRALSUND_DESC,"Stralsund fue una ciudad próspera gobernada por el aristócrata Henry Cavendish.

La ciudad fue cuna de la revolución industrial y contaba con diversas instituciones de investigación Alquímica. 

Grandes genios de la alquimia como Geber estudiaron en la academia de Stralsund.

Sin embargo, Cavendish se convirtió en miembro de los Ahuizotes. Se dice que su fortuna fue a parar a manos de Johannes Trithemius para financiar a la secta.

Al descubrirse este hecho, Cavendish fue setenciado con orden de captura, los Alquimistas de la Orden lo encontraron... pero él ya estaba muerto, su causa de muerte: envenenamiento por Arsénico. No obstante no se pudo determinar si fue un suicido o no...","Stralsund was a prosperous city governed by the aristocrat Henry Cavendish.

The city was the cradle of the industrial revolution and had several alchemical research institutions. 

Great alchemical geniuses, such as Geber, studied at the Stralsund academy.

However, Cavendish became a member of the Ahuizotes. It is said that his fortune went to Johannes Trithemius to finance the sect.

When this fact was discovered, Cavendish was sentenced with a warrant for his arrest. The Alchemists of the Order found him... but he was already dead, his cause of death: poisoning by arsenic. However, it could not be determined whether it was a suicide or not...","Stralsund foi uma próspera cidade governada pelo aristocrata Henry Cavendish.

A cidade foi o berço da revolução industrial e havia muitas instituições de pesquisa alquímica. 

Grandes gênios como Geber estudaram na Academia Stralsund.

Porém, Cavendish se tornou um membro dos Ahuizotes. É conhecido que sua fortuna foi para Johannes Trithemius para financiar a seita.

Quando o fato foi descoberto, Cavendish foi sentenciado com um mandado de prisão, os Alquimistas da Ordem o encontraram... mas ele já estava morto. A causa da morte foi envenenamento por arsênico. Porém, não pode ser determinado se foi suicídio ou não...","斯特拉尔松德曾是一座由贵族亨利·卡文迪许统治的繁荣城市。

这座城市是工业革命的摇篮，同时拥有多所炼金研究机构。

包括盖贝尔在内的许多伟大炼金天才，都曾在斯特拉尔松德学院求学。

然而，卡文迪许后来加入了 Ahuizotes。据说他的财富也流入了约翰内斯·特里特米乌斯之手，用以资助这个教派。

此事曝光后，卡文迪许遭到通缉并被判逮捕。教团的炼金术师找到他时……他已经死了，死因是砒霜中毒。至于那是否属于自杀，则始终未能查明……"
CAVENDISH_BROTHERS_TITLE,Hermanos Cavendish,Cavendish Brothers,Irmãos Cavendish,卡文迪许兄弟
CAVENDISH_BROTHERS_DESC,"Joseph y Annette Cavendish, hermanos. Hijos de Henry Cavendish.

Por alguna razón ahora son Adeptis de los Ahuizotes.

La hermana mayor, Annette, parece poseer un poder mayor al de su hermano, aunque se comporta a la defensiva, tarde o temprano ella se pondrá en acción.","Joseph and Annette Cavendish, siblings. Children of Henry Cavendish.

For some reason, they are now Adeptis of the Ahuizotes.

The older sister, Annette, seems to possess greater power than her brother, although she behaves defensively. Sooner or later, she will take action.","Joseph e Annette Cavendish, irmãos. Filhos de Henry Cavendish.

Por alguma razão, eles são agora Adeptis dos Ahuizotes.

A irmã mais velha, Annette, aparenta possuir grande poder do que seu irmão, apesar dela agir de forma defensiva, cedo ou tarde ela agirá.","约瑟夫与安妮特·卡文迪许，两人是兄妹，也是亨利·卡文迪许的子女。

不知为何，他们如今都成了 Ahuizotes 的 Adeptis。

身为姐姐的安妮特，似乎拥有比弟弟更强的力量，不过她行事更偏防守。迟早有一天，她会主动出手。"
AURA_TITLE,,Aura Eclair,Aura Eclair,奥拉·埃克莱尔
AURA_DESC,"Aura Eclair, es la hija de Gabriel, quien trabaja en una tienda en Amerithia.

Ha pedido ayuda con encontrar a sus tres gatos que están perdidos en Grijayla. A cambio, dará como recompensa un objeto con forma de caja que encontró mientras jugaba, la caja lleva inscrito la palabra ""Daguerrotipo"".","Aura Eclair is Gabriel's daughter who works in a store in Amerithia.

She has asked for help with finding her three cats that are lost in Grijayla. In return, she will give a box-shaped object she found while playing as a reward. The box is inscribed with the word ""Daguerreotype"".","Aura Eclair é filha do Gabriel, que trabalha numa loja em Amerithia.

Ela pediu ajuda para encontrar seus três gatos perdidos em Grijayla. Em troca, ela te dará como recompensa um objeto em formato de caixa que ela encontrou enquanto brincava, a caixa está gravada com a palavra ""Daguerreótipo"".","奥拉·埃克莱尔是加布里埃尔的女儿，也在阿美瑞西亚的一家商店里工作。

她委托人帮忙寻找自己在格里哈伊拉走失的三只猫。作为报酬，她愿意把自己玩耍时捡到的一个盒状物交出来。那个盒子上刻着“银版摄影机”一词。"
TAHUATEPETL_TITLE,Isletas de Tahuatepetl,Tahuatepetl Islets,Ilhotas Tahuatepetl,塔瓦特佩特群岛
TAHUATEPETL_DESC,"Recibe el nombre de ""Isletas de Tahuatepetl"" a una serie de más de trescientos islotes ubicadas en el mar de Niquira.

Se cree que el origen de estas isletas se debe a un derrumbe del volcán que se encuentra en la ""isla mayor"" hace mil años.

Las isletas han sido pobladas por una tribu de personas especializadas en la pesca hace medio siglo. Sin embargo la isleta de mayor tamaño permanece deshabitada debido a la actividad volcánica del Koapolkán.","The ""Tahuatepetl islets"" is a series of over three hundred islets located in the Sea of Niquira.

It is believed that these islets originated from a volcanic collapse on the ""main island"" a thousand years ago.

The islets have been inhabited by a tribe of people specializing in fishing for half a century. However, the largest islet remains uninhabited due to the volcanic activity of the Koapolkán.","É chamada ""Ilhotas Tahuatepetl"" uma série de mais de trezentas ilhotas localizadas no Mar de Niquira.

Acredita-se que tais ilhotas foram originadas de uma uma caldeira vulcânica na “ilha principal” há mil anos atrás.

Essas ilhotas foram habitadas por uma tribo especializada na pesca por meio século. Porém, a maior ilhota mantém inabitada.","“塔瓦特佩特群岛”是一片由三百多座小岛组成的群岛，位于尼基拉海。

人们相信，这些岛屿形成于千年前“主岛”火山塌陷之后。

半个世纪以来，这些岛上一直居住着一个以捕鱼为生的部族。不过，由于科阿波尔坎的火山活动，最大的那座岛至今仍无人居住。"
DLETTER_TITLE,"Carta de ""D"".","""D"" Letter.",Carta “D”,“D”的信
DLETTER_DESC,"Espero que tu viaje a Grijayla haya transcurrido sin problemas, Gabriel.

Has servido fielmente a nuestro señor durante dos décadas. Lamento tener que encargarte de esta gran responsabilidad con la señorita.

Sé que te parece una locura mudarte a una ciudad tan cercana a la sede de La Orden en Amerithia, pero te aseguro que es el último lugar donde te buscarían.

Las distintas sedes de La Orden trabajan de manera independiente y rara vez comparten información entre ellas.

Estoy finalizando los últimos preparativos del viaje. Por favor, resiste un poco más.

Atentamente, ""D"".","I hope your trip to Grijayla went smoothly, Gabriel.

You have served our Lord faithfully for two decades. I am sorry to have you to take on this great responsibility with the young lady.

I know it seems crazy for you to move to a city so close to the headquarters of The Order in Amerithia, but I assure you it is the last place they would look for you.

The various headquarters of The Order work independently and rarely share information with each other.

I am finalizing the last preparations for the trip. Please, hold on a little longer.

Sincerely, “D”.","Eu espero que sua viagem a Grijayla não houve contratempos, Gabriel.

Você serviu fielmente o nosso lorde por duas décadas. Sinto muito de ter essa grande responsabilidade com a senhorita.

Eu sei que parece loucura para você se mudar para uma cidade tão próxima da sede da Ordem em Amerithia, mas eu te asseguro que é o último lugar que eles irão te procurar.

As várias sedes da Ordem trabalham independentemente e raramente compartilha informações entre elas.

Estou finalizando as últimas preparações para a viagem. Por favor, espere um pouco mais.

Sinceramente, “D”.","希望你前往格里哈伊拉的旅途一切顺利，加布里埃尔。

这二十年来，你一直忠心侍奉我们的主。让你带着那位年轻小姐承担如此重大的责任，我深感抱歉。

我知道，要你搬到离阿美瑞西亚教团总部如此之近的城市，看起来近乎疯狂；但我向你保证，那恰恰会是他们最不会去找你的地方。

教团的各处分部彼此独立运作，极少互通情报。

我正在做出发前最后的准备。请再坚持一阵子。

此致，
“D”"
BAKDASHONATK,Esquivar al atacar,Backdash on attack,Recuo no ataque,攻击中的后闪
NEGATIVESTATUS,Estados negativos,Negative status,Condição negativa,负面状态
THERMALRESIS,Resistencia térmica,Thermal resistance,Resistência termal,环境耐性
ABOUTDAMAGEINFLICT,Acerca del daño inflingido,About the damage inflicted,Sobre o dano infligido,关于造成的伤害
RESISTANDWEAKNS,Resistencias y debilidades,Resistances and weaknesses,Resistências e fraquezas,抗性与弱点
ABOUTMULTIPLEEQUIP,Acerca del equipamiento múltiple,About Multiple equipment,Sobre o Equipamento Múltiplo,关于多套装备
BAKDASHONATK_DESC,"Cuanto atacas no puedes moverte, si usas el botón para esquivar puedes evitar ser dañado por el enemigo, parece tonto decirlo pero hay personas que olvidan usarlo...","When you attack, you can't move. If you use the dodge button, you can avoid being damaged by the enemy. It seems silly to say it but there are people who forget to use it...","Quando você ataca você não consegue se mover, se usar o botão de esquiva você pode evitar de ser atacado pelo inimigo. Parece tolice, mas tem pessoas que se esquecem de usar…",攻击时你无法移动。如果在攻击过程中使用闪避按钮，就能避开敌人的伤害。听起来像是废话，但确实有人会忘记这么做……
NEGATIVESTATUS_DESC,"Existen tres estados negativos que algunos enemigos pueden infligirte.

Envenenado: Pierdes un poco de salud gradualmente.
Lesionado: Tus estadísticas se reducen a la mitad.
Maldito: Pierdes maná continuamente.

Para cada uno de estos estados existe un objeto que puede curarte, consumibles disponibles en la tienda.","There are three negative states that some enemies can inflict on you.

Poisoned: You gradually lose some health.
Injured: Your stats are reduced by half.
Cursed: You lose mana continuously.

For each of these states, there is an item that can heal you. Consumables are available in the store.","Há três condições negativas que alguns inimigos podem infligir em você:

Envenenada: Gradualmente perderá saúde.
Ferida: Suas habilidades são reduzidas pela metade.
Amaldiçoada: Você perde mana continuamente.

Para cada um, há um item que te cura, consumíveis disponíveis na loja.","有三种负面状态可能由部分敌人施加给你。

中毒：生命会逐渐减少。
受伤：你的各项属性减半。
诅咒：法力会持续流失。

这三种状态各自都有对应的治疗道具，消耗品可在商店购买。"
