keys,es,en,pt_BR,zh_CN,fr
DEMON_SKULL_TITLE,Calavera de Demonio,Demon's Skull,Caveira do Demônio,恶魔头骨,Crâne de Démon
STINKING_FLESH_TITLE,Carne Pestilente,Stinking Flesh,Carne Podre,恶臭腐肉,Viande Pestilentielle
STINKING_FLESH_DESC,"Maldita sea, qué olor...","Damn, what a smell...","Droga, que fedor…",该死，这味道也太冲了……,"Fichtre, quelle odeur..."
MAGIC_MEDALLION_TITLE,Medallón Mágico,Magic Medallion,Medalhão Mágico,魔法徽章,Médaille Magique
MAGIC_MEDALLION_DESC,Permite abrir puertas selladas que protegen a la ciudad de Amerithia de demonios pequeños.,Allows you to open sealed doors that protect the city of Amerithia from small demons.,Permite abrir portas seladas que protegem a cidade de Amerithia de pequenos demônios,可开启那些用来保护阿美瑞西亚城免受小型恶魔侵袭的封印之门。,Permet d’ouvrir les portes scellées qui protègent la ville d’Amerithia des petits démons.
ORNAMENT_GEMSTONE_TITLE,Gema de Adorno,Gemstone Ornament,Ornamento de gema preciosa,宝石饰件,Gemme Ornementale
ORNAMENT_GEMSTONE_DESC,Una gema con muescas que indican que podría encajarse en algún lugar.,A gem with notches that suggest it could fit into a specific place.,Uma gema com entalhe que sugere que pode encaixar em um local específico.,这块宝石带有凹槽，看起来能嵌入某个特定的位置。,Une gemme avec des encoches indiquant qu’elle pourrait s’insérer quelque part.
SILVER_KEY_TITLE,Llave de Plata,Silver Key,Chave de Prata,银钥匙,Clé en Argent
SILVER_KEY_DESC,Una vieja llave hecha de plata.,An old silver key.,Uma chave antiga de prata.,一把旧银钥匙。,Une vieille clé en argent.
DEMON_SKULL_DESC,Una calavera de demonio que había sido tragado por un slime gigante.,A demon skull that had been swallowed by a giant slime.,Uma caveira de demônio que foi engolida por um limo gigante.,一颗曾被巨型史莱姆吞下的恶魔头骨。,Un crâne de démon qui avait été avalé par un slime géant.
FIREPROOF_CONTAINER_TITLE,Carta de Xóchitl,Xóchitl's letter,Carta de Xóchitl,索奇特尔的信,Lettre de Xóchitl
FIREPROOF_CONTAINER_DESC,"Carta encontrada dentro de un contenedor ignífugo que dice lo siguiente:

En estos dos años como infiltrada en la secta de los Ahuizotes finalmente hice avances reuniendo información.

Su líder proclama que los guiará hacia el ""milagro"" de la resurrección gracias al [Opus Magnum].

Solo los Adeptis están al tanto sobre cómo crearán el Opus Magnum.

Sin embargo, se sabe que consta de cuatro etapas para su transmutación:

1-Rubedo, 2-Albedo, 3-Citrinitas, 4-Nigredo.

Se dice que la primera etapa, Rubedo, fue alcanzada gracias a cierto incidente ocurrido en la región de Transilvania.

La segunda etapa, Albedo, fue completada con la invasión de demonios en Grijayla.

En esta ciudad los Ahuizotes descubrieron un laboratorio secreto de un investigador especializado en óptica llamado Jean Neumann.

Desconozco de qué trata la 3ra y 4ta fase.

Mi último descubrimiento es sobre el lugar donde se oculta Johannes Trithemius.

Hay una puerta enorme en el lugar donde los Ahuizotes se reunen, una abadía antigua ubicada al norte, pasando por Eztilia. 

Esta puerta solo se abre cuando todos los Adeptis se reunen, colocando sus medallones en un orden específico.

Logré escabullirme y ver el orden en el que lo hacían: %s

Espero que esto logre con nuestra misión de erradicar a los Ahuizotes de una vez por todas.

-- Xóchitl Nahoa.","Letter found inside a fireproof container that reads as follows:

In these two years as an infiltrator in the sect of the Ahuizotes, I finally made progress gathering information.

Their leader proclaims that he will guide them to the ""miracle"" of resurrection thanks to the [Opus Magnum].

Only the Adeptis are aware of how they will create the Opus Magnum.

However, it's known that it consists of four stages for its transmutation:

1-Rubedo, 2-Albedo, 3- Citrinitas, 4-Nigredo.

The first stage, Rubedo, is said to have been achieved thanks to a certain incident in the Transylvania region.

The second stage, Albedo, was completed with the invasion of demons in Grijayla.

In this city, the Ahuizotes discovered the secret laboratory of a researcher specialized in optics named Jean Neumann.

I don't know what the 3rd and 4th phases are about.

My last discovery is about the place where Johannes Trithemius is hiding.

There is a huge door in the place where the Ahuizotes gather, an ancient abbey located to the north, passing through Eztilia. 

This door only opens when all the Adeptis gather, placing their medallions in a specific order.

I managed to sneak in and see the order in which they did it: %s.

I hope this accomplishes our mission to eradicate the Ahuizotes once and for all.

-- Xóchitl Nahoa.","Carta encontrada dentro de um contêiner a prova de fogo, que diz:

Nesses dois anos como um infiltrado na seita dos Ahuizotes, eu finalmente fiz progresso em coletar informação.

O líder deles proclama que os guiará ao “milagre” da ressurreição graças ao [Opus Magnum].

Apenas os Adeptis são cientes de como eles criarão o Opus Magnum.

Porém, é sabido que consiste nos quatro estágios de sua transmutação:

1-Rubedo, 2-Albedo, 3- Citrinitas, 4-Nigredo.

O primeiro estágio, Rubedo, é dito que foi alcançado graças a um certo evento na região da Transilvânia.

O segundo estágio, Albedo, foi completado com a invasão de demônios em Grijayla.

Nessa cidade, os Ahuizotes descobriram um laboratório secreto de um pesquisador especializado em ótica chamado Jean Neumann.

Eu não sei sobre o que se tratam das fases 3 e 4.

Minha última descoberta é sobre o local onde Johannes Trithemius está se escondendo.

Há uma porta enorme no local onde os Ahuizotes se reúnem, uma antiga abadia localizada ao norte, passando por Eztilia. 

Essa porta apenas abre quando todos os Adeptis se reúnem, colocando seus medalhões numa ordem específica.

Eu consegui me infiltrar e ver a ordem que eles colocaram: %s.

Eu espero que cumpra a nossa missão de erradicar os Ahuizotes de uma vez por todas.

-- Xóchitl Nahoa.","在一个防火容器中发现的信件，内容如下：

我潜入 Ahuizotes 教派的这两年里，终于在搜集情报上有所进展。

他们的首领宣称，自己将凭借 [至高杰作] 引领众人迈向复活的“奇迹”。

只有 Adeptis 知晓他们将如何完成至高杰作。

不过，已知它的嬗变共分为四个阶段：

1-赤化，2-白化，3-黄化，4-黑化。

据说第一阶段“赤化”，是因特兰西瓦尼亚地区发生的某起事件才得以达成。

第二阶段“白化”，则是在格里哈伊拉遭受恶魔入侵时完成的。

Ahuizotes 在这座城市里发现了一位名叫让·诺伊曼、专精光学的研究者所留下的秘密实验室。

至于第三和第四阶段究竟是什么，我还不清楚。

我最后查到的情报，是约翰内斯·特里特米乌斯的藏身之处。

在 Ahuizotes 聚集之地，有一扇巨大的门。那是一座位于北方、途经埃兹提利亚后才能抵达的古老修道院。

唯有所有 Adeptis 全数到齐，并依照特定顺序放置各自的徽章，这扇门才会开启。

我设法潜入其中，亲眼看到他们摆放的顺序：%s。

希望这些情报能帮助我们一劳永逸地铲除 Ahuizotes。

——索奇特尔·纳瓦","Lettre trouvée à l’intérieur d’un conteneur ignifugé qui dit ce qui suit :
Après deux dernières années en tant qu'infiltrée dans la secte des Ahuizotes, j'ai finalement pu rassembler des informations valables. Leur gourou proclame qu'il les guidera vers le ""miracle"" de la résurrection grâce à l’[Opus Magnum]. Seuls les Adeptis savent comment créer l’Opus Magnum. Cependant, on sait qu’il se compose de quatre étapes pour sa transmutation : 1-Rubedo, 2-Albedo, 3-Citrinitas, 4-Nigredo. On dit que la première étape, Rubedo, a été accomplie grâce à un certain incident survenu dans la région de Transylvanie. La deuxième étape, Albedo, a été complétée avec l’invasion de démons à Grijayla. Dans cette ville, les Ahuizotes ont découvert un laboratoire secret d’un chercheur spécialisé en optique nommé Jean Neumann. J’ignore de quoi traitent la 3ème et 4ème phases. Ma dernière découverte concerne l’endroit où se cache Johannes Trithemius. Il y a une énorme porte à l’endroit où les Ahuizotes se réunissent, une ancienne abbaye située au nord, en passant par Eztilia. Cette porte ne s’ouvre que lorsque tous les Adeptis se réunissent, en plaçant leurs médaillons dans un ordre spécifique. J’ai réussi à m’échapper et à voir l’ordre dans lequel ils le faisaient : %s. J’espère que cela contribuera à notre mission d’éradiquer les Ahuizotes une fois pour toutes.
-- Xóchitl Nahoa.
"
MEDALLION_O_TITLE,Medallón Oxígeno,Oxygen Medallion,Medalhão de Oxigênio,氧之徽章,Médaillon Oxygène
MEDALLION_O_DESC,"Medallón perteneciente al Alquimista del Oxígeno, Joseph Cavendish. Número atómico: 8.","Medallion belonging to the Alchemist of Oxygen, Joseph Cavendish. Atomic number: 8.","Medalhão pertencente ao Alquimista de Oxigênio, Joseph Cavendish. Número atômico: 8.",属于氧之炼金术师约瑟夫·卡文迪许的徽章。原子序数：8。,"Médaillon appartenant à l'Alchimiste de l'Oxygène, Joseph Cavendish. Numéro atomique : 8."
RUBY_TITLE,Rubí,Ruby,Rubi,红宝石,Rubis
WATERSWORD_TITLE,Espada de Atargatis,Atargatis Sword,Espada de Atargatis,阿塔伽提斯之剑,Épée d'Atargatis
RUBY_DESC,Un rubí grande y muy valioso. Un Witiko lo tenía en su posesión.,A large and very valuable ruby. A Witiko had it in his possession.,Um rubi muito precioso. Um Witiko possui um desse.,一颗硕大且价值不菲的红宝石。它曾落在一只温迪戈手中。,Un rubis de grande taille et de grande valeur. Un Witiko le détenait.
WATERSWORD_DESC,Una espada hecha de un cristal resistente que emite una luz azul muy intensa.,A sword made of a resistant crystal that emits a very intense blue light.,Uma espada feita de um cristal resistente que emite uma luz azul bem intensa.,一把以坚固结晶打造而成的长剑，会放射出极其强烈的蓝光。,Une épée faite d'un cristal résistant qui émet une lumière bleue intense.
DAGUERROTYPE_TITLE,Daguerrotipo,Daguerreotype,Daguerreótipo,银版摄影机,Daguerréotype
DAGUERROTYPE_DESC,"Una caja de madera encontrada por la niña Aura, pero no sabe cual es su utilidad.

La caja incluye un lente de cristal y componentes internos mecánicos además de una lámina de plata pulida a tal punto que parece un espejo.","A wooden box found by the girl Aura, but she does not know what its purpose is.

The box includes a glass lens, mechanical internal components, and a silver sheet polished to the point that it looks like a mirror.","Uma caixa de madeira encontrada pela Aura, mas ela não sabe para que serve.

A caixa inclui uma lente de vidro, componentes mecânicos em seu interior e uma chapa de prata polida ao ponto de parecer um espelho.","女孩奥拉发现的一只木盒，但她并不知道这是做什么用的。

盒中装有玻璃镜片、机械式内部构件，以及一块打磨得宛如镜面的银板。","Une boîte en bois trouvée par la petite fille Aura, mais elle ne sait pas à quoi elle sert. La boîte inclut une lentille en cristal et des composants mécaniques internes, ainsi qu'une lame de platine polie au point de ressembler à un miroir."
PB_ELEMT_TITLE,Plomo elemental,Elemental Lead,Chumbo Elemental,铅元素,Plomb Élémentaire
PB_ELEMT_DESC,"El plomo es un metal denso, blando y maleable, usado en protección contra radiación y contrapesos. ","Lead is a dense, soft, and malleable metal used in radiation protection and counterweights. ","Chumbo é um metal denso, macio e maleável usado na proteção de radiação e contrapeso.",铅是一种高密度、柔软且具有延展性的金属，常用于防辐射与配重。,"Le plomb est un métal dense, mou et malléable, utilisé pour la protection contre les radiations et comme contrepoids."
HG_ELEMT_TITLE,Mercurio elemental,Elemental Mercury,Mercúrio Elemental,汞元素,Mercure Élémentaire
HG_ELEMT_DESC,"El mercurio es el único metal que es líquido a temperatura ambiente, conocido por su alta densidad y su uso en termómetros.",Mercury is the only metal that is liquid at ambient temperature. Known for its high density and use in thermometers.,"Mercúrio é o único metal que é líquido na temperatura ambiente, conhecido por sua alta densidade e seu uso em termômetros.",汞是唯一一种在常温下呈液态的金属，以高密度以及温度计中的应用而闻名。,"Le mercure est le seul métal qui est liquide à température ambiante, connu pour sa haute densité et son utilisation dans les thermomètres."
AU_ELEMT_TITLE,Oro elemental,Elemental Gold,Ouro Elemental,金元素,Or Élémentaire
AU_ELEMT_DESC,"El oro es un metal amarillo brillante, muy valorado por su uso en joyería, monedas y como reserva de valor. ","Gold is a bright yellow metal, highly valued for its use in jewelry, coins, and as a store of value. ","Ouro é um metal amarelo e cintilante, de grande valor pelo seu uso na joalheria, moedas e como reserva de valor.",金是一种明亮的黄色金属，因可用于珠宝、钱币以及价值储藏而备受珍视。,"L'or est un métal jaune brillant, très valorisé pour son utilisation en joaillerie, monnaies et comme réserve de valeur."
SN_ELEMT_TITLE,Estaño elemental,Elemental Tin,Estanho Elemental,锡元素,Étain Élémentaire
SN_ELEMT_DESC,"El estaño es un metal plateado y maleable, utilizado en la fabricación de aleaciones y recubrimientos protectores. ","Tin is a silvery, malleable metal used in the manufacture of alloys and protective coatings. ","Estanho é um metal prateado e maleável, usado na manufatura de ligas e revestimentos protetivos.",锡是一种银白色、具延展性的金属，常用于制造合金与防护涂层。,"L'étain est un métal argenté et malléable, utilisé dans la fabrication d'alliages et de revêtements protecteurs."
AG_ELEMT_TITLE,Plata elemental,Elemental Silver,Prata Elemental,银元素,Argent Élémentaire
AG_ELEMT_DESC,"La plata es un metal blanco y brillante, apreciado por su uso en joyería, utensilios y como conductor eléctrico. ","Silver is a bright white metal, prized for its use in jewelry, utensils, and as an electrical conductor. ","Prata é um metal branco e cintilante, valorizado pelo seu uso na joalheria, utensílios e como um condutor elétrico.",银是一种明亮洁白的金属，因可用于珠宝、器具以及导电材料而备受重视。,"L'argent est un métal blanc et brillant, apprécié pour son utilisation en joaillerie, ustensiles et comme conducteur électrique."
CU_ELEMT_TITLE,Cobre elemental,Elemental Copper,Cobre Elemental,铜元素,Cuivre Élémentaire
CU_ELEMT_DESC,"El cobre es un metal rojizo y conductor, ampliamente usado en cables eléctricos y en la construcción.","Copper is a reddish conductive metal, widely used in electrical wiring and construction.","Cobre é um metal avermelhado e condutor, amplamente usado na construção e fiação elétrica.",铜是一种带红色调、导电性良好的金属，广泛用于电线与建筑领域。,"Le cuivre est un métal rougeâtre et conducteur, largement utilisé dans les câbles électriques et dans la construction."
FE_ELEMT_TITLE,Hierro elemental,Elemental Iron,Ferro Elemental,铁元素,Fer Élémentaire
FE_ELEMT_DESC,"El hierro es un metal fuerte y duradero, fundamental en la fabricación de acero y en la construcción de infraestructuras. ","Iron is a strong and durable metal, essential in steelmaking and infrastructure construction. ","Ferro é um metal durável e sólido, essencial na construção de infraestrutura e manufatura de aço.",铁是一种坚固耐用的金属，是炼钢与基础设施建设不可或缺的材料。,"Le fer est un métal fort et durable, fondamental dans la fabrication de l'acier et dans la construction d'infrastructures."
TEST_TUBE_TITLE,Tubo de ensayo,Test tube,Tubo de ensaio,试管,Tube à Essai
TEST_TUBE_DESC,Un tubo de vidrio usado para contener muestras pequeñas.,A glass tube used to contain small samples.,Um tubo de vidro usado para conter pequenas amostras.,用于盛放少量样本的玻璃管。,Un tube en verre utilisé pour contenir de petits échantillons.
MINERAL_FE_TITLE,Mineral de hierro,Iron ore,Minério de ferro,铁矿石,Minerai de Fer
MINERAL_FE_DESC,Mineral de hierro que contiene impurezas.,Iron ore containing impurities.,Minério de ferro contendo impurezas.,含有杂质的铁矿石。,Minerai de fer contenant des impuretés.
MINERAL_CU_TITLE,Mineral de cobre,Copper ore,Minério de cobre,铜矿石,Minerai de Cuivre
MINERAL_CU_DESC,Mineral que contiene 70% de cobre elemental.,Ore containing 70% elemental copper.,Minério contendo 70% de cobre elemental.,含有 70% 铜元素的矿石。,Minerai contenant 70 % de cuivre élémentaire.
MINERAL_AG_TITLE,Mineral de plata,Silver ore,Minério de prata,银矿石,Minerai d'Argent
MINERAL_AG_DESC,Mineral que contiene una pequeña cantidad de plata elemental.,Ore containing a small amount of elemental silver.,Minério contendo uma pequena quantidade de prata elemental.,含有少量银元素的矿石。,Minerai contenant une petite quantité d'argent élémentaire.
MINERAL_HG_TITLE,Cinabrio,Cinnabar,Cinábrio,朱砂,Cinabre
MINERAL_HG_DESC,"Mineral que pertenece al grupo de los sulfuros, compuesto en un 85% de mercurio y en un 15% de azufre.","Mineral belonging to the sulfide group, composed of 85% mercury and 15% sulfur.","Mineral pertencente ao grupo dos sulfetos, compostos de 85% mercúrio e 15% enxofre.",属于硫化物矿物的一种，由 85% 的汞与 15% 的硫构成。,"Minerai appartenant au groupe des sulfures, composé de 85 % de mercure et de 15 % de soufre."
MINERAL_AU_TITLE,Pepita de oro,Gold nugget,Pepita de ouro,金块,Pépite d'Or
MINERAL_AU_DESC,Una pieza de oro mezclada con impurezas.,A piece of gold mixed with impurities.,Uma pepita de ouro com impurezas.,混有杂质的一块黄金。,Un morceau d'or mélangé avec des impuretés.
MINERAL_SN_TITLE,Casiterita,Cassiterite,Cassiterita,锡石,Cassitérite
MINERAL_SN_DESC,Mineral del óxido de Estaño.,Tin oxide ore.,Minério de dióxido de estanho.,氧化锡矿石。,Minerai d'oxyde d'étain.
MINERAL_PB_TITLE,Galena,Galena,Galena,方铅矿,Galène
MINERAL_PB_DESC,Mineral de sulfuro de plomo.,Lead sulfide ore.,Minério de sulfeto de chumbo.,硫化铅矿石。,Minerai de sulfure de plomb.
PRISMDISPERSE_TITLE,Prisma de dispersión inversa,Inverse dispersion prism,Prima de Dispersão Inversa,逆色散棱镜,Prisme de Dispersion Inverse
PRISMDISPERSE_DESC,Prisma creado por Jean Neumann que permite invertir el proceso de la dispersión de la luz.,Prism created by Jean Neumann that reverses the process of light dispersion.,Prisma criada por Jean Neumann que reverte o processo da dispersão de luz.,让·诺伊曼制作的棱镜，能够逆转光线色散的过程。,Prisme créé par Jean Neumann qui permet d'inverser le processus de dispersion de la lumière.
CLOCKPOCKET_TITLE,Reloj de bolsillo,Pocket watch,Relógio de bolso,怀表,Montre de Poche
CLOCKPOCKET_DESC,"Un reloj elegante que ha dejado caer Joseph, está marcado con las iniciales H. C.",An elegant watch dropped by Joseph. It is marked with the initials H. C.,"Um elegante relógio deixado pelo Joseph, está marcado com as iniciais H. C.",约瑟夫掉落的一只精致怀表。上面刻着 H. C. 的首字母。,"Une montre élégante que Joseph a laissée tomber, marquée des initiales H. C."
GIANTBATWING_TITLE,Alas de Zotz,Zotz Wings,Asas de Zotz,佐兹特之翼,Ailes de Zotz
GIANTBATWING_DESC,Alas de murciélago gigante que es utilizado en varias pociones alquímicas.,Wings of a giant bat that is used in various alchemical potions.,Asas de um morcego gigante que é usado em várias poções alquímicas.,巨型蝙蝠的翅膀，可用于调制多种炼金药剂。,Ailes de chauve-souris géante utilisées dans diverses potions alchimiques.
CANDYDIFF_TITLE,Caramelo dulce,Sweet candy,Bala de caramelo,甜味糖果,Bonbon
CANDYDIFF_DESC,"¿Las cosas están difíciles? Con este caramelo cambia a nivel ""fácil"" la partida.","Are things difficult? With this candy, the game difficulty changes to “easy.”","As coisas estão difíceis? Com essa bala, o jogo muda para “fácil”.",觉得太难了吗？使用这颗糖果后，游戏难度将变为“简单”。,"Les choses sont-elles difficiles ? Avec ce bonbon, passez le jeu en mode ""facile""."
ACIDSULFUR_TITLE,Ácido sulfúrico,Sulfuric acid,Ácido sulfúrico,硫酸,Acide Sulfurique
ACIDSULFUR_DESC,Sustancia química altamente corrosiva que es necesaria para la transmutación de objetos. Solo se vende a Alquimistas Oficiales certificados por La Orden.,Highly corrosive chemical substance that is necessary for the transmutation of objects. Only sold to Official Alchemists certified by The Order.,Substância química altamente corrosiva que é necessária para a transmutação de objetos. É vendido apenas para Alquimistas Oficiais certificados pel’A Ordem.,进行物品嬗变所必需的高腐蚀性化学物质。仅出售给经教团认证的正阶炼金术师。,Substance chimique hautement corrosive nécessaire pour la transmutation d'objets. Elle n'est vendue qu'aux Alchimistes Officiels certifiés par l'Ordre.
PIGIRON_TITLE,Arrabio,Pig iron,Ferro-gusa,生铁,Fonte
PIGIRON_DESC,Materia prima obtenida de la fundición de Hierro más otros elementos a altas temperaturas.,Raw material obtained from the smelting of iron plus other elements at high temperatures.,Matéria prima obtida pela fundição de Ferro com mais outros elementos a altas temperaturas.,将铁与其他元素在高温下熔炼后得到的原材料。,Matière première obtenue de la fusion du fer et d'autres éléments à haute température.
AHUIZOTEMASK_TITLE,Máscara de Ahuizote,Ahuizote Mask,Máscara do Ahuizote,Ahuizote 面具,Masque d'Ahuizote
AHUIZOTEMASK_DESC,Una máscara que contiene sangre de un Ahuizote.,A mask containing blood from an Ahuizote.,Uma máscara contendo sangue de um Ahuizote.,一副沾有 Ahuizote 鲜血的面具。,Un masque contenant du sang d'un Ahuizote.
GEARIRON_TITLE,Engranaje de acero,Steel gear,Engrenagem de aço,钢制齿轮,Engrenage en Acier
GEARIRON_DESC,"Un engranaje fabricado de acero, útil para completar mecanismos abandonados.","A gear made of steel, useful to complete abandoned mechanisms.","Uma engrenagem feita de aço, útil para completar mecanismos abandonados.",一枚钢制齿轮，可用于补全废弃的机关装置。,"Un engrenage fabriqué en acier, utile pour compléter des mécanismes abandonnés."
SUPERPOTIONHEALTH_TITLE,Superpoción de Salud,Super Health Potion,Super Poção de Saúde,超级生命药,Super Potion de Santé
SUPERPOTIONHEALTH_DESC,Recupera la totalidad de la salud.,Restores full health.,Recupera toda a saúde,恢复全部生命。,Restaure la totalité des points de vie.
SUPERCARPATITIA_TITLE,Carpatitia refinada,Carpatithia refined,Carpatithia refinada,精炼卡尔帕提提亚,Carpatitia Raffinée
SUPERCARPATITIA_DESC,"De uso automático, evita la muerte, recupera la totalidad de salud y otorga 10 segundos de invulnerabilidad.","Automatic use, prevents death, recovers full health, and grants 10 seconds of invulnerability.","Uso automático, previne morte, recupera toda a saúde e garante 10 segundos de invulnerabilidade.",会自动发动，防止死亡，恢复全部生命，并赋予 10 秒无敌时间。,"Utilisation automatique, évite la mort, restaure la totalité des points de vie et octroie 10 secondes d'invulnérabilité."
SUPERPOTIONMANA_TITLE,Superpoción de maná,Super Mana Potion,Super Poção de Mana,超级法力药,Super Potion de Mana
SUPERPOTIONMANA_DESC,Recupera la totalidad del maná.,Restores full mana.,Recupera toda a mana,恢复全部法力。,Restaure la totalité du mana.
MELONPAN_TITLE,Melonpan,Meronpan,Pão de melão,蜜瓜包,Melonpan
MELONPAN_DESC,"Pan dulce que recupera la totalidad de salud, el pan favorito de cierto demonio.",Sweet bread that restores full health. The favorite bread of a certain demon.,"Pão doce que recupera toda a saúde, é o pão favorito de um certo demônio.",能够恢复全部生命的甜面包。某位恶魔最喜欢的面包。,"Pain sucré qui restaure la totalité des points de vie, le pain préféré d'un certain démon."
NACATAMAL_TITLE,Nacatamal,Nacatamal,Nacatamal,纳卡塔马尔粽,Nacatamal
NACATAMAL_DESC,"Masa de maíz rellena con carne, arroz y vegetales, envuelta en hoja de plátano cocida al vapor. Aumenta la DEF ligeramente.","Corn dough stuffed with meat, rice, and vegetables, wrapped in a steamed banana leaf. Increases DEF slightly.","Massa de milho recheada com carne, arroz e vegetais, enrolada com folha de banana cozido no vapor. Aumenta um pouco a DEF.",以玉米面包裹肉、米饭与蔬菜，再用香蕉叶蒸制而成。可小幅提升 DEF。,"Pâte de maïs fourrée avec de la viande, du riz et des légumes, enveloppée dans une feuille de bananier et cuite à la vapeur. Augmente légèrement la DEF."
GALLOPINTO_TITLE,Gallopinto,Gallopinto,Gallo pinto,加拉皮托豆饭,Gallopinto
GALLOPINTO_DESC,Platillo de arroz y frijoles mezclados. Aumenta ligeramente el ATK.,Mixed rice and beans dish. Slightly increases ATK.,Prato com arroz e feijão misturados. Aumenta um pouco o ATK.,将米饭与豆类混合而成的料理。可小幅提升 ATK。,Un plat de riz et de haricots mélangés. Augmente légèrement l'ATK.
VIGORON_TITLE,Vigorón,Vigorón,Vigorón,维戈隆,Vigorón
VIGORON_DESC,"Platillo que contiene yuca cocida, chicharrón y ensalada de repollo. Aumenta ligeramente la INT.","Dish containing cooked yucca, chicharrón, and cabbage salad. Slightly increases INT.","Prato contendo yuca cozida (tipo de mandioca), chicharrón (tipo de torresmo) e salada de repolho. Aumenta um pouco a INT.",以煮木薯、炸猪皮与卷心菜沙拉组成的料理。可小幅提升 INT。,"Un plat contenant du manioc cuit, du chicharrón et une salade de chou. Augmente légèrement l'INT."
PINOL_TITLE,Pinolillo,Pinolillo,Pinolillo,皮诺利略可可饮,Pinolillo
