keys,es,en,pt_BR,zh_CN
DLG2_1678397417,"Al manipular estos contenedores, tenga en cuenta que son resistentes al impacto, [color=yellow]pero no a la exposición prolongada al fuego/calor.[/color]","When handling, please note that they are resistant to impact [color=yellow]but not to prolonged exposure to fire/heat.[/color]","Ao manipular estes contêineres, por favor saiba que são resistentes ao impacto, [color=yellow] mas não à exposição prolongada ao fogo ou calor.[/color]",使用时请注意：它们抗冲击，[color=yellow]但不耐长时间火焰/高温暴露。[/color]
DLG3_1678397417,"Por favor, tenga precaución al almacenar y transportar estos contenedores para garantizar su seguridad y la de quienes lo rodean.",Please use caution when storing and transporting these containers to ensure your safety and the safety of those around you.,"Por favor, tenha cautela quando guardar e transportar estes contêineres para assegurar sua segurança e a todos ao seu redor.",请在储存和搬运这些容器时务必谨慎，以确保你自己以及周围所有人的安全。
DLG1_1679006366,Demo terminada. ¡Muchas gracias por jugar!,"Demo finished, thank you very much for playing!",Demo finalizada. Muito obrigado por jogar!,试玩版结束，非常感谢你的游玩！
DLG2_1679006366,"Recuerda seguir el proyecto [color=yellow]Toziuha Night[/color] en Facebook, Twitter, Youtube, Itchio y Steam!","Remember to follow the [color=yellow]Toziuha Night[/color] project on Facebook, Twitter, Youtube, Itch.io, and Steam!","Lembre de seguir o projeto [color=yellow]Toziuha Night[/color] no Facebook, Twitter, Youtube, Itch.io e Steam!",记得在 Facebook、Twitter、Youtube、Itch.io 和 Steam 上关注 [color=yellow]托祖哈之夜[/color] 项目！
XANDRIADOTX3,Xandria...,Xandria...,Xandria…,珊德莉雅……
THANKS,Gracias.,Thank you.,Muito obrigado.,谢谢。
IUNDERSTAND,Entiendo...,I understand...,Eu entendo.,我明白了……
PROLOGUE_OUTRO_1,"En cada última noche de octubre,
misteriosamente las fuerzas
de la luz se desvanecen.","On every last night of October,
the forces of light
mysteriously fade away.","A cada última noite de Outubro, 
misteriosamente as forças 
Da luz desaparecem,","在每一个十月最后的夜晚，
光明的力量
都会神秘地衰退。"
PROLOGUE_OUTRO_2,"Con el fin de proteger a la humanidad,
los herederos de la sabiduría 
de Hermes Trismegisto...","In order to protect humanity,
the heirs of the wisdom
of Hermes Trismegistus...","Para proteger a humanidade, 
os herdeiros da sabedoria 
De Hermes Trimegisto…","为了守护人类，
继承赫尔墨斯·特里斯墨吉斯图斯智慧的人们……"
PROLOGUE_OUTRO_3,"... personas conocidas como Alquimistas
crearon una organización.","... people known as Alchemists,
created an organization.","...pessoas conhecidas como Alquimistas 
Criaram uma organização.","……那些被称为炼金术师的人，
建立了一个组织。"
PROLOGUE_OUTRO_4,"Siglos de paz y progreso reinaron
el continente.","Centuries of peace and progress reigned
over the continent.","Séculos de paz e progresso reinaram 
Por todo o continente.","数个世纪以来，和平与进步
始终笼罩着这片大陆。"
PROLOGUE_OUTRO_5,"Sin embargo, la paz peligra
por aquellos que proclaman
tener la verdad absoluta.","However, peace is endangered
by those who claim
to have the absolute truth.","Porem, a paz é ameaçada 
por aqueles que reivindicam 
Que tem a verdade absoluta.","然而，那些自称掌握绝对真理的人
正让和平陷入危机。"
PROLOGUE_OUTRO_6,"Adeptos del poder Toziuha, se reunen
entre las sombras, esperando
la resurección de Athos.","Adepts of the Toziuha power gather
in the shadows, awaiting
the resurrection of Athos.","Adeptos do poder Toziuha, se reúnem 
nas sombras, aguardando 
A ressurreição de Athos.","掌握托祖哈之力的 Adeptis
在阴影中集结，等待阿托斯复活。"
ROTTENCHICKENWALLOBTAINED,Qué demonios hace una pierna de pollo en la pared...,What the hell is a chicken leg doing in a wall...,Mas que diabos uma coxa de frango está fazendo numa parede…,墙里怎么会有鸡腿啊……
DLGIMUSTUSECARBON,Debería usar la aleación de Carbono...,I should use the Carbon alloy...,Eu deveria usar a liga de Carbono…,我应该使用碳合金……
HOWCUTE,Qué lindo...,How cute...,Que lindo…,真可爱……
DLGIMUSTUSEPYRO,Debería usar fuego o calor... los golpes no servirán.,I should use fire or heat... hitting won't work.,Eu deveria usar fogo ou calor...bater não funcionará.,我应该用火或者高温……直接打是没用的。
ALESSALETTER1,"Xandria, felicitaciones por tu ascenso a Alquimista Oficial.","Xandria, congratulations on your promotion to Official Alchemist.","Xandria, parabéns pela sua promoção para Alquimista Oficial.",珊德莉雅，恭喜你晋升为正阶炼金术师。
ALESSALETTER2,"Este es un gran paso para tu carrera como Alquimista, aunque eso no te interesa parece...","This is a big step for your career as an Alchemist. Although, you don't care about that, I guess...","Esse é um grande passo para a sua carreira como uma Alquimista, apesar de que você não se importa com isso, eu presumo…",这对你的炼金术师生涯来说是很大的一步。虽然，我猜你其实并不在乎这个……
ALESSALETTER3,"En fin, esta noche serás asignada a una misión de emergencia...","Anyway, tonight you will be assigned to an emergency mission...","Em todo o caso, nessa noite você será designada para uma missão de emergência…",总之，今晚你将被指派执行一项紧急任务……
ALESSALETTER4,Se ha reportado una invasión de demonios en la ciudad de Grijayla.,A demon invasion has been reported in the city of Grijayla.,Uma invasão de demônios foi comunicada na cidade de Grijayla.,格里哈伊拉发生了恶魔入侵。
ALESSALETTER5,"Según la información que he recibido, hay Ahuizotes involucrados. Quizás encuentres algo que buscas...","According to the information I have received, there are Ahuizotes involved. Maybe you'll find something you're looking for...","De acordo com a informação que recebi, há o envolvimento dos Ahuizotes. Talvez você encontrará algo que esteja procurando…",根据我收到的情报，Ahuizotes 也牵涉其中。说不定你会找到自己一直在找的东西……
ALESSALETTER6,"Ya me lo agradecerás luego, y con agradecerme quiero decir que me deberás un favor.","You'll thank me later, and by thanking me, I mean you'll owe me a favor.","Você me agradecerá depois, digo que você me deve um favor.",你以后会感谢我的。当然，我说的“感谢”，是指你会欠我一个人情。
ALESSALETTER7,Alessa Bollstad\n---\nDirectora de La Orden.,Alessa Bollstad\n---\nDirector of The Order.,Alessa Bollstad\n---\nDiretora d’A Ordem.,"娅蕾莎·博斯塔德
---
教团负责人"
DLGIMUSTUSELUX,No sería buena idea avanzar en un lugar tan oscuro sin tener algo con qué iluminar...,It would not be a good idea to advance in such a dark place without having something to illuminate...,Não seria uma boa ideia avançar num local tão escuro e sem nada para iluminar o caminho…,在这么黑的地方前进，手头没有照明可不是什么好主意……
DLG01GRIJLETTER,Parece que quien vivía aquí dejó una carta...,It seems that the person who lived here left a letter...,Parece que uma pessoa que viveu aqui deixou uma carta…,看来住在这里的人留下了一封信……
WHATFCKHAPPENEDHERE,¿Qué rayos ha pasado aquí?,What the hell happened here?,Mas que diabos aconteceu aqui?,这鬼地方到底发生了什么？
STAYBACKAURA,"Quédate detrás de mí, Aura.","Stay behind me, Aura.","Fique atrás de mim, Aura.",躲到我身后，奥拉。
IFICONGELATEWATER,Podría tratar de congelar esa agua...,I could try to freeze that water...,Eu podia congelar essa água.…,或许我可以试着把那片水冻住……
WATCHOUT,¡Cuidado!,Watch out!,Cuidado!,小心！
DLG8_1677104432,A menudo tengo el mismo sueño.,I often have the same dream.,Frequentemente eu tenho esse mesmo sonho.,我总会反复梦见同一个梦。
DLG9_1677104432,Sobre aquella fatídica noche.,About that fateful night.,Sobre aquela fatídica noite.,梦见那个命中注定的夜晚。
DLG10_1677104432,Cuando el miedo me paralizó...,When fear paralyzed me...,Quando o medo me paralisou...,当恐惧让我动弹不得之时……
DLG11_1677104432,"Impotente, solo pude ver como él me lo había arrebatado todo.","Powerless, I could only watch as he had taken everything from me.","Incapaz, eu só pude ver enquanto ele levou tudo de mim.",我无能为力，只能眼睁睁看着他夺走我的一切。
DLG1_1686778008,"Oh, ¿qué es lo que ven mis ojos? ¿Un ángel? Qué suerte tengo.","Oh, what do my eyes see? An angel? Lucky me.","Oh, o que meus olhos veem, um anjo? Que sorte a minha.",哦，我看见了什么？一位天使？我可真走运。
DLG3_1686778008,¿Eh? ¿Margaret?,Huh? Margaret?,O que? Margaret?,咦？玛格丽特？
DLG4_1686778008,¿Qué hace la responsable del laboratorio de alquimia aquí?,What is the head of the alchemy lab doing here?,O que a responsável pelo laboratório de alquimia está fazendo aqui?,炼金实验室的负责人怎么会在这里？
DLG5_1686778008,"Ehh... bueno, estaba en busca de algunos materiales para mi investigación...","Ehh... well, I was looking for some materials for my research...","É… bem, eu estava procurando alguns materiais para a minha pesquisa...",呃……这个嘛，我正在找研究要用的材料……
DLG6_1686778008,"Y sin darme cuenta terminé rodeada, je, je, je...","And without realizing it, I ended up surrounded. Heh, heh, heh...","E sem perceber eu acabei cercada, he, he, he.…",结果一个不留神，就被它们包围了。呵，呵呵……
DLG7_1686778008,Así que... ¿podrías deshacerte de estos demonios?,So... could you get rid of these demons?,Então... você pode se livrar desses demônios?,所以……你能帮我把这些恶魔解决掉吗？
DLG8_1686778008,Y te agradecería si puedes darte prisa... te daré algo a cambio.,And I'd appreciate it if you hurry... I'll give you something in return.,E eu te agradeceria se você se apressasse… Eu te darei algo em troca.,如果你能快一点，我会很感激……我可以给你一点回报。
DLG10_1686778008,Ah... qué molestia.,Ah... what a nuisance.,Ah... que chatice.,啊……真烦。
DLG3_1686779687,"¿¡Por qué te has tardado tanto!? Estuve aquí mucho tiempo, pensé que sería mi fin.","What took you so long?! I was here for a while, thought it would be my end.","E a demora?! Eu estava aqui faz tempo, pensava que seria o meu fim.",怎么这么慢？！我在这儿待了好一阵子，还以为自己死定了。
DLG4_1686779687,Eh... tenía otros asuntos por resolver.,Uh... I had other business to attend to.,Uh... Eu tenho outros assuntos a tratar.,呃……我刚才有别的事要处理。
DLG5_1686779687,"Pero ya está, ya me encargué de todos los demonios.","But that's it, I've taken care of all the demons.","Mas é isso, Já cuidei de todos os demônios.",不过现在没事了，我已经把那些恶魔都收拾掉了。
DLG6_1686779687,Ah... Lastima mi corazoncito que no te preocupes por mí...,Ah... It hurts my little heart that you don't care about me...,Ah... Que pena que meu amorzinho não se importa comigo.…,啊……你这么不把我放在心上，真让我这颗小心脏难过啊……
