keys,es,en,pt_BR,zh_CN
SWING_DESC,"Permite columpiarte con el látigo si mantienes presionado el botón ""Ataque"" después de golpear los anillos flotantes e impúlsate presionando alternadamente izquierda / derecha. Cambia el largo de la cadena con arriba / abajo.","Allows you to swing with the whip if you hold down the ""Attack"" button after hitting the floating rings and propel yourself by pressing left/right alternately. Change the length of the chain with up/down.","Te permite balançar o chicote se segurar o botão ""Ataque"" após atingir os anéis flutuantes e impulsione-se pressionando alternadamente esquerda/direita. Altere o comprimento da corrente com para cima/para baixo.",击中浮空圆环后，按住“攻击”按钮即可借助鞭子摆荡；左右交替按键还能推动自己前进。上下可调整锁链长度。
WALL_SLIDE_DESC,"Permite deslizarte en paredes si ""empujas"" en el aire hacia una pared.","Allows you to slide on walls if you ""push"" in the air towards a wall.","Te permite deslizar nas paredes se você ""empurrar"" no ar em direção à parede.",在空中朝墙壁方向“推动”时，可沿墙面滑行。
MULTIPLE_EQUIPMENT_TITLE,Equipamiento Múltiple,Multiple Equipment,Equipamentos Múltiplos,多套装备
MULTIPLE_EQUIPMENT_DESC,Mantén presionado el botón de [Menú rápido] y presiona [Sig. Pág] o [Prev Pág] para cambiar el set de equipamiento.,Hold down the [Quick Menu] button and press [Next Page] or [Prev Page] to change the equipment set.,Segure o botão de [Menu Rápido] e pressione [Próxima Página] ou [Página Anterior] para mudar o conjunto de equipamento,按住 [快捷菜单] 按钮，再按 [下一页] 或 [上一页] 即可切换装备套装。
CHAINED_ATTACK_DESC,Permite realizar ataques consecutivos de látigo de manera más rápida presionando repetidamente el botón del látigo.,Allows you to perform consecutive whip attacks faster by repeatedly pressing the whip button.,Permite realizar chicotadas consecutivas mais rápidas ao pressionar repetidamente o botão de chicote.,连续按下鞭击按钮，可更快使出连续鞭击。
AMPHIBIOUS_BREATHING_DESC,Permite respirar bajo el agua.,Allows breathing underwater.,Permite respirar debaixo d’água,可在水下呼吸。
AERIAL_DASH_DESC,Permite impulsarte con un breve período de invulnerabilidad si se presiona [Backdash] en el aire.,Allows you to dash with a brief period of invulnerability if [Backdash] is pressed in the air.,Te permite dash com um breve período de invencibilidade se [Recuar] é pressionado no ar.,在空中按下 [后闪] 可进行冲刺，并获得短暂无敌时间。
RAPIS_MOTUS_DESC,Aumenta la velocidad al correr.,Increases running speed.,Aumenta a velocidade da corrida.,提升奔跑速度。
FERRUM_ASCIA_DESC,Arroja Hachas hacia arriba.,Throw Axes upwards.,Lança machados para cima,向上投掷斧头。
ELECTRO_SPHAERA_DESC,Dos esferas de elecricidad que orbitan por un tiempo breve.,Two spheres of elecricity orbit for a short time.,Duas esferas de eletricidade orbitando por um breve período.,召出两颗电球，在周围短暂环绕。
PYRO_PROIECTUM_DESC,Lanza un proyectil de fuego.,Throws a fire projectile.,Lança um projétil de fogo.,发射一枚火焰弹。
FRIGUS_PILAR_DESC,Invoca un pilar de hielo.,Summons an ice pillar.,Invoca um piar de gelo.,召唤一根冰柱。
AETHERIS_GLADIO_DESC,Ataque con una ráfaga de viento de alta velocidad.,Attack with a high-speed gust of wind.,Ataca com uma rajada de vento de alta velocidade.,以高速风刃发动攻击。
DISSOLVIO_RADIUM_DESC,Ataca con un rayo que desintegra la materia de quien lo toque.,Attacks with a ray that disintegrates the matter of whoever touches it.,A cata com um raio que desintegra a matéria de qualquer coisa que tocar.,发射一道射线，接触到的物质都会被其分解。
LUX_PILAR_DESC,Crea un pilar que emitirá energía lumínica cada pocos segundos.,Creates a pillar that will emit light energy every few seconds.,Cria um pilar que emitirá energia de luz por poucos segundos.,创造一根每隔数秒就会释放光能的光柱。
AQUA_FLUERE_DESC,Ataca con un cañón de agua de alta potencia.,Attacks with a high-powered water cannon.,Ataca com um canhão de água de alta potência,以高压水炮发动攻击。
FERRUM_STELLA_DESC,Lanza proyectiles de hierro con forma de estrella.,It launches star-shaped iron projectiles.,Lança projéteis com formato de estrelas.,发射星形铁制投射物。
SANGRI_IMPALIA_DESC,Invoca lanzas desde el suelo que empalan a los enemigos.,Summons spears from the ground that impale enemies.,Invoca lanças da terra que empala os inimigos.,从地面召出长枪，将敌人刺穿。
RUBRUS_DRACO_DESC,Ataca con el poder de un gran dragón. La cantidad de daño aumenta cuanta más sangre haya acumulado.,Attacks with the power of a great dragon. The amount of damage increases with the more blood you have accumulated.,Ataca com o poder de um grande dragão. A quantidade de dano aumenta com a quantidade de sangue acumulado.,借由巨龙之力发动攻击。累计的鲜血越多，伤害越高。
CONGELATIO_DESC,Invoca una onda de frío que puede ser capaz de congelar grandes masas de agua.,Summons a cold wave that can freeze large bodies of water.,Invoca uma onda fria que pode congelar largos corpos d’água,召来足以冻结大面积水域的寒流。
VOLTUSA_DESC,Crea un pequeño tornado de agua.,Creates a small water tornado.,Cria um pequeno tornado de água.,制造一个小型水龙卷。
CONTRARIUS_GRAVITAS_DESC,"Permite ""invertir"" la gravedad utilizando ferromagnetismo de bloques especiales de hierro.",Allows gravity to be “reversed” using ferromagnetism from special iron blocks.,Permite “reverter” gravidade usando ferromagnetismo de blocos especiais de ferro.,利用特殊铁块的铁磁性来“反转”重力。
PLUVIA_SANGRI_DESC,Invoca una lluvia de sangre que daña a todos los enemigos en pantalla. Requiere 50 de sangre.,Summon a rain of blood that damages all enemies on screen. Requires 50 blood.,Invoca uma chuva de sangue que ataca todos os inimigos na tela. Necessita de 50 de sangue.,召唤一场血雨，对画面内所有敌人造成伤害。需要 50 点鲜血。
AERIAL_DASH_II_DESC,Permite realizar impulsos en el aire hasta que la estamina lo permita.,Allows you to dash in the air until your stamina runs out.,Te permite fazer dash no ar até sua resistência se esgotar.,可在空中持续冲刺，直到耐力耗尽为止。
WHIP_ALLOY_IMPROV_DESC,Disminuye el gasto de maná y mejora poder de aleaciones.,Reduces mana cost and improves alloy power.,Reduz o custo de mana e aprimora o poder da liga.,降低法力消耗，并提升合金威力。
WHIP_ALLOY_IMPROV,Mejora de aleación,Alloy refinement,Refinamento de liga,合金精炼
AETHERIS_GLADIO_MERIO_DESC,Ataca con múltiples ráfagas de viento.,Attacks with multiple gusts of wind.,Ataca com múltiplas rajadas de vento.,以多重风刃发动攻击。
FERRUM_STELLA_MERIO_DESC,Lanza tres proyectiles al mismo tiempo.,Cast three projectiles at the same time.,Lança três projéteis ao mesmo tempo.,同时发射三枚投射物。
FERRUM_ASCIA_MERIO_DESC,Arroja una hacha de gran poder.,Throw a powerful axe.,Lança um machado com grande poder.,投掷一把强力战斧。
PYRO_PROIECTUM_MERIO_DESC,Lanza una bola de fuego que daña todo a su paso.,Cast a fireball that damages everything in its path.,Lança uma bola de fogo que queima tudo em seu caminho.,发射一枚火球，灼烧路径上的一切。
LUX_PILAR_MERIO_DESC,Aumenta poder de energía luminíca.,Increase light energy power.,Aumenta o poder de energia de luz.,提升光能威力。
FRIGUS_PILAR_MERIO_DESC,Invoca múltiples pilares de hielo.,Summon multiple pillars of ice.,Invoca múltiplos pilares de gelo.,召唤多根冰柱。
